[22:47:23] === bench-spark run ===
[22:47:23] Profile: dense-31b
[22:47:23] Tests:   A B C D E F G H I J
[22:47:23] Results: /home/spark/benchmarks/bench-spark/results/gemma-4-31b-it/no-prefix-cache
[22:47:23] ── START A ──
[22:48:23]     ... A running: 60s, GPU 96%
[22:49:23]     ... A running: 120s, GPU 96%
[22:50:23]     ... A running: 180s, GPU 96%
[22:51:23]     ... A running: 240s, GPU 96%
[22:52:23]     ... A running: 300s, GPU 96%
[22:53:23]     ... A running: 360s, GPU 96%
[22:54:23]     ... A running: 420s, GPU 96%
[22:55:23]     ... A running: 480s, GPU 96%
[22:56:23]     ... A running: 540s, GPU 96%
[22:57:23]     ... A running: 600s, GPU 96%
[22:58:23]     ... A running: 660s, GPU 96%
[22:59:23]     ... A running: 720s, GPU 96%
[23:00:23]     ... A running: 780s, GPU 96%
[23:01:23]     ... A running: 840s, GPU 96%
[23:02:23]     ... A running: 900s, GPU 96%
[23:03:24]     ... A running: 961s, GPU 96%
[23:04:24]     ... A running: 1021s, GPU 96%
[23:05:24]     ... A running: 1081s, GPU 96%
[23:06:24]     ... A running: 1141s, GPU 96%
[23:07:24]     ... A running: 1201s, GPU 96%
[23:08:24]     ... A running: 1261s, GPU 96%
[23:09:24]     ... A running: 1321s, GPU 96%
[23:10:24]     ... A running: 1381s, GPU 96%
[23:11:24]     ... A running: 1441s, GPU 96%
[23:12:24]     ... A running: 1501s, GPU 96%
[23:13:24]     ... A running: 1561s, GPU 96%
[23:14:24]     ... A running: 1621s, GPU 96%
[23:15:24]     ... A running: 1681s, GPU 96%
[23:16:24]     ... A running: 1741s, GPU 96%
[23:17:24]     ... A running: 1801s, GPU 96%
[23:18:24]     ... A running: 1861s, GPU 96%
[23:19:24]     ... A running: 1921s, GPU 96%
[23:20:24]     ... A running: 1981s, GPU 96%
[23:21:24]     ... A running: 2041s, GPU 96%
[23:22:24]     ... A running: 2101s, GPU 96%
[23:23:24]     ... A running: 2161s, GPU 96%
[23:24:24]     ... A running: 2221s, GPU 96%
[23:25:24]     ... A running: 2281s, GPU 96%
[23:26:25]     ... A running: 2342s, GPU 96%
[23:27:25]     ... A running: 2402s, GPU 96%
[23:28:25]     ... A running: 2462s, GPU 96%
[23:29:25]     ... A running: 2522s, GPU 96%
[23:30:25]     ... A running: 2582s, GPU 96%
[23:31:25]     ... A running: 2642s, GPU 96%
[23:32:25]     ... A running: 2702s, GPU 96%
[23:33:25]     ... A running: 2762s, GPU 96%
[23:34:25]     ... A running: 2822s, GPU 96%
[23:35:25]     ... A running: 2882s, GPU 96%
[23:36:25]     ... A running: 2942s, GPU 96%
[23:37:25]     ... A running: 3002s, GPU 96%
[23:38:25]     ... A running: 3062s, GPU 96%
[23:39:25]     ... A running: 3122s, GPU 96%
[23:40:25]     ... A running: 3182s, GPU 96%
[23:41:25]     ... A running: 3242s, GPU 96%
[23:42:25]     ... A running: 3302s, GPU 96%
[23:43:25]     ... A running: 3362s, GPU 96%
[23:44:25]     ... A running: 3422s, GPU 96%
[23:45:25]     ... A running: 3482s, GPU 96%
[23:46:25]     ... A running: 3542s, GPU 96%
[23:47:25]     ... A running: 3602s, GPU 96%
[23:48:25]     ... A running: 3662s, GPU 96%
[23:49:25]     ... A running: 3722s, GPU 96%
[23:50:26]     ... A running: 3783s, GPU 96%
[23:51:26]     ... A running: 3843s, GPU 96%
[23:52:26]     ... A running: 3903s, GPU 96%
[23:53:26]     ... A running: 3963s, GPU 96%
[23:54:26]     ... A running: 4023s, GPU 96%
[23:55:26]     ... A running: 4083s, GPU 96%
[23:56:26]     ... A running: 4143s, GPU 96%
[23:57:26]     ... A running: 4203s, GPU 96%
[23:58:26]     ... A running: 4263s, GPU 96%
[23:59:26]     ... A running: 4323s, GPU 96%
