elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,41.02,65,2496,96,117981
20,41.14,66,2496,96,117883
30,41.20,66,2496,96,117897
40,41.28,66,2496,96,117891
50,80.71,74,2444,96,117905
60,35.46,66,2496,96,117927
70,35.29,65,2496,96,117945
80,35.03,66,2496,96,117958
90,34.70,65,2496,96,117952
100,35.48,66,2496,96,117893
111,35.31,65,2496,96,117885
121,35.70,66,2496,96,117906
131,35.41,65,2496,96,117903
141,80.85,74,2450,96,117913
151,37.40,67,2496,96,117919
161,37.08,66,2496,96,117920
171,37.13,66,2496,96,117890
181,37.54,68,2496,96,117893
191,37.19,67,2496,96,117918
201,35.83,66,2496,96,117924
211,37.91,68,2496,96,117933
221,37.40,67,2496,96,117945
231,37.26,67,2496,96,117958
241,83.77,74,2437,96,117956
251,37.48,67,2496,96,117960
261,37.27,67,2496,96,117963
271,41.55,68,2496,96,117883
282,80.74,73,2444,96,117897
292,41.58,68,2496,96,117912
302,41.60,68,2496,96,117923
312,41.66,68,2496,96,117922
322,82.66,74,2437,96,117927
332,36.02,68,2496,96,117889
342,35.72,67,2496,96,117891
352,83.08,75,2444,96,117907
362,35.92,68,2496,96,117915
372,35.72,67,2496,96,117931
382,50.43,69,2496,96,117934
392,35.97,68,2496,96,117934
402,65.14,72,2437,96,117891
412,36.35,69,2496,96,117895
422,35.88,67,2496,96,117908
432,82.39,73,2444,96,117923
442,82.68,76,2444,96,117928
452,37.98,69,2496,96,117941
463,37.84,68,2496,96,117956
473,82.46,76,2444,96,117890
483,83.02,78,2437,96,117888
493,38.26,70,2496,96,117913
503,37.99,69,2496,96,117925
513,82.69,74,2437,96,117935
523,83.26,78,2437,96,117947
533,38.37,70,2496,96,117946
543,38.12,69,2496,96,117943
553,38.87,67,2496,96,117891
563,82.90,75,2444,96,117890
573,38.42,71,2496,96,117914
583,38.12,70,2496,96,117924
593,37.91,69,2496,96,117935
603,42.03,70,2496,96,117938
613,70.50,74,2457,96,117953
623,41.83,70,2496,96,117888
633,41.85,70,2496,96,117895
643,62.60,74,2457,96,117911
654,41.88,70,2496,96,118819
664,81.55,78,2457,96,118795
674,63.47,74,2463,96,118797
684,36.58,70,2496,96,118788
694,36.36,69,2496,96,117898
704,80.70,75,2431,96,117891
714,40.18,72,2470,96,117912
724,36.74,70,2496,96,117931
734,51.25,69,2496,96,117956
744,81.47,78,2437,96,118035
754,37.00,72,2470,96,118121
764,36.69,70,2496,96,118195
774,79.25,77,2444,96,117901
784,79.35,76,2437,96,117899
794,36.99,72,2470,96,117920
804,36.72,70,2496,96,117918
814,79.92,77,2444,96,117941
824,78.57,79,2457,96,118033
834,79.99,79,2463,96,118129
844,82.28,80,2457,96,117900
855,39.03,73,2470,96,117920
865,38.57,71,2470,96,117886
875,38.57,71,2496,96,117893
885,77.85,76,2437,96,117916
895,79.74,79,2437,96,117978
905,83.91,79,2418,96,118056
915,60.07,79,2463,96,118165
925,38.96,73,2470,96,118229
935,38.50,71,2470,96,117899
945,79.17,78,2450,96,117892
955,82.16,77,2444,96,117911
965,81.43,79,2431,96,117915
975,83.21,82,2450,96,117924
985,39.31,74,2470,96,117980
995,38.90,72,2470,96,118102
1005,38.31,71,2470,96,118159
1015,80.66,79,2450,96,117902
1025,80.32,78,2437,96,117900
1035,82.06,79,2444,96,117911
1046,43.40,75,2470,96,117921
1056,39.21,73,2470,96,117925
1066,38.88,72,2470,96,117927
1076,76.43,79,2457,96,118172
1086,42.27,72,2470,96,117903
1096,73.08,80,2470,96,117898
1106,42.28,72,2496,96,117975
1116,72.19,75,2470,96,118169
1126,42.28,71,2496,96,118398
1136,48.58,72,2470,96,118604
1146,42.15,71,2496,96,118762
1156,82.96,79,2450,96,117904
1166,74.57,77,2437,96,117898
1176,75.53,78,2470,96,118042
1186,37.32,73,2470,96,118223
1196,36.98,71,2496,96,118490
1206,79.36,74,2437,96,118797
1216,76.34,76,2444,96,118817
1226,75.96,80,2457,96,118813
1236,78.13,78,2437,96,118767
1246,37.10,72,2470,96,117907
1256,37.04,71,2496,96,117941
1267,75.05,75,2463,96,118789
1277,71.18,77,2463,96,118784
1287,80.99,77,2450,96,118789
1297,73.94,81,2470,96,118793
1307,37.10,72,2470,96,117911
1317,36.90,70,2496,96,117907
1327,75.51,74,2470,96,118825
1337,78.10,77,2457,96,118817
1347,74.06,80,2470,96,118814
1357,37.63,73,2470,96,118804
1367,37.25,71,2496,96,118805
1377,58.36,69,2496,96,117904
