elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,71.38,77,2470,96,122698
20,80.25,76,2437,96,122675
30,74.93,79,2457,96,122677
40,76.03,79,2444,96,122673
50,76.92,77,2437,96,122661
60,70.71,77,2437,96,122660
70,82.90,79,2444,96,122700
80,78.77,78,2450,96,122679
90,77.28,78,2450,96,122668
100,83.76,80,2444,96,122664
110,76.13,81,2444,96,122660
120,76.32,77,2431,96,122665
130,80.25,81,2450,96,122664
140,73.57,77,2470,96,122660
150,41.03,72,2470,96,122663
160,39.42,69,2496,96,122674
170,39.00,68,2496,96,122667
181,38.69,67,2496,96,122675
191,81.04,74,2457,96,122683
201,76.13,72,2437,96,122663
211,74.78,74,2444,96,122663
221,77.15,74,2450,96,122662
231,74.80,73,2457,96,122660
241,76.00,76,2457,96,122667
251,77.01,73,2437,96,122663
261,72.06,76,2457,96,122656
271,77.40,76,2450,96,122655
281,76.38,77,2470,96,122652
291,70.91,72,2444,96,122653
301,78.99,77,2444,96,122661
311,72.01,73,2437,96,122661
321,75.52,76,2470,96,122657
331,77.00,76,2450,96,122661
341,38.97,68,2496,96,122661
351,38.65,66,2496,96,122669
361,38.41,65,2496,96,122672
371,37.29,64,2496,96,122667
382,72.34,73,2483,96,122675
392,79.36,72,2444,96,122678
402,72.26,75,2450,96,122677
412,74.72,76,2437,96,122679
422,72.42,74,2463,96,122679
432,71.10,74,2463,96,122684
442,81.90,78,2457,96,122685
452,73.73,78,2444,96,122684
462,74.84,78,2450,96,122676
472,79.47,77,2444,96,122675
482,74.31,77,2450,96,122681
492,78.67,79,2444,96,122693
502,77.13,77,2470,96,122683
512,76.24,80,2450,96,122670
522,40.25,73,2470,96,122670
532,39.94,71,2496,96,122668
542,39.61,70,2496,96,122672
552,39.39,69,2496,96,122670
562,77.85,75,2450,96,122671
572,75.17,74,2450,96,122683
582,73.96,78,2450,96,122687
593,78.84,76,2457,96,122685
603,75.07,76,2431,96,122689
613,76.36,78,2450,96,122678
623,79.09,78,2437,96,122681
633,72.97,77,2457,96,122689
643,80.04,80,2463,96,122692
653,76.41,77,2470,96,122686
663,75.11,80,2470,96,122677
673,79.85,79,2444,96,122680
683,71.87,79,2463,96,122680
693,78.53,83,2431,96,122682
703,78.82,78,2444,96,122680
713,40.28,73,2470,96,122679
723,39.77,72,2470,96,122678
733,39.78,71,2496,96,122682
743,38.64,70,2496,96,122687
