elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,43.60,67,2483,96,113930
20,56.40,67,2470,96,113896
30,43.85,67,2483,96,113900
40,43.84,67,2483,96,113900
50,43.76,67,2483,96,113894
60,43.72,67,2483,96,113891
70,43.85,67,2483,96,113903
80,41.27,67,2496,96,113899
90,39.50,66,2496,96,113893
100,41.32,67,2496,96,113893
110,39.59,66,2496,96,113895
120,41.31,67,2496,96,113892
130,41.04,66,2496,96,113890
141,41.20,67,2496,96,113891
151,40.98,66,2496,96,113897
161,87.99,73,2450,96,113891
171,43.38,67,2496,96,113888
181,42.59,67,2496,96,113890
191,43.58,68,2496,96,113892
201,43.47,67,2496,96,113890
211,41.72,67,2496,96,113891
221,43.61,68,2496,96,113896
231,43.43,67,2496,96,113902
241,41.99,67,2496,96,113903
251,43.48,68,2496,96,113894
261,43.39,68,2496,96,113887
