elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,13.27,52,2405,0,115485
20,41.88,58,2502,96,115467
30,45.86,58,2515,96,115407
40,38.06,59,2515,96,115369
50,40.43,60,2515,96,115365
60,40.46,60,2515,96,115365
70,49.68,61,2515,96,115359
80,41.97,61,2515,96,115361
91,55.88,62,2515,96,115356
101,42.43,62,2515,96,115348
111,43.31,63,2496,96,115348
121,44.20,63,2496,96,115347
131,44.58,64,2496,96,115349
141,53.76,65,2489,96,115359
151,44.91,64,2489,96,115356
161,45.35,64,2496,96,115367
171,45.44,65,2496,96,115366
181,45.46,64,2496,96,115368
191,45.66,65,2496,96,115361
201,45.83,65,2496,96,115363
211,48.03,65,2496,96,115362
221,48.01,66,2496,96,115364
231,48.20,66,2496,96,115366
242,48.22,66,2496,96,115363
252,48.60,66,2489,96,115364
262,48.93,67,2489,96,115360
272,48.84,67,2489,96,115357
282,48.93,67,2496,96,115349
292,49.08,67,2489,96,115347
302,48.99,67,2489,96,115351
312,48.88,67,2496,96,115352
322,48.70,67,2496,96,115356
332,48.52,67,2496,96,115357
342,48.64,67,2496,96,115360
352,48.46,67,2496,96,115354
362,48.74,67,2496,96,115353
372,48.67,67,2496,96,115350
382,46.18,67,2496,96,115351
392,46.13,67,2496,96,115354
403,46.10,67,2496,96,115356
413,46.25,67,2496,96,115362
423,45.96,67,2496,96,115360
433,45.97,66,2496,96,115364
443,45.69,67,2496,96,115364
453,45.64,66,2496,96,115363
463,45.24,66,2496,96,115365
473,45.25,66,2496,96,115354
483,45.16,66,2496,96,115351
493,45.12,66,2496,96,115352
503,45.01,66,2496,96,115357
513,44.83,66,2496,96,115360
523,44.89,66,2496,96,115369
533,44.84,66,2496,96,115379
543,44.68,66,2496,96,115383
553,43.83,65,2496,96,115377
563,43.77,65,2496,96,115375
574,43.79,65,2496,96,115375
584,43.65,65,2496,96,115374
594,43.14,65,2496,96,115369
604,43.21,65,2496,96,115369
614,42.96,65,2496,96,115366
624,42.39,65,2496,96,115366
634,41.02,65,2496,96,115361
644,40.42,64,2496,96,115368
654,40.39,64,2496,96,115363
664,36.91,63,2496,96,115358
674,43.20,64,2489,96,115367
684,43.09,64,2489,96,115363
