elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,49.93,68,2496,96,119265
20,50.19,69,2496,96,119238
30,50.31,70,2496,96,119228
40,49.87,71,2496,96,119220
50,50.85,71,2496,96,119224
60,50.71,72,2470,96,119222
70,50.84,72,2470,96,119237
80,50.83,73,2470,96,119229
90,51.13,73,2470,96,119237
100,51.15,73,2470,96,119228
111,51.25,74,2470,96,119236
121,51.31,74,2470,96,119236
131,51.37,74,2470,96,119232
141,51.47,74,2470,96,119240
151,51.29,73,2470,96,119234
161,51.02,73,2470,96,119237
171,50.60,72,2470,96,119236
181,40.22,70,2483,96,119233
191,39.76,69,2483,96,119228
201,38.18,68,2483,96,119222
211,38.06,67,2483,96,119229
221,37.80,67,2483,96,119225
231,37.75,66,2483,96,119234
241,37.62,66,2483,96,119234
251,36.74,65,2483,96,119235
261,36.66,65,2483,96,119231
272,42.16,66,2483,96,119225
282,38.99,66,2483,96,119228
292,38.85,65,2483,96,119220
302,38.64,65,2483,96,119224
312,37.41,65,2483,96,119233
322,37.37,65,2483,96,119238
332,37.30,65,2483,96,119229
342,37.30,64,2483,96,119220
352,37.27,64,2483,96,119219
362,37.17,64,2483,96,119213
372,37.22,64,2483,96,119216
382,37.18,64,2483,96,119219
392,37.16,64,2483,96,119218
402,36.31,63,2483,96,119220
412,49.50,66,2496,96,119221
422,38.81,65,2483,96,119220
433,38.69,64,2483,96,119226
443,38.65,64,2483,96,119225
453,37.29,64,2483,96,119224
463,36.31,64,2483,96,119222
473,36.28,63,2483,96,119226
483,36.24,63,2483,96,119229
493,36.23,63,2483,96,119230
503,36.14,63,2483,96,119224
513,36.10,63,2483,96,119219
523,49.35,66,2496,96,119222
533,49.31,66,2496,96,119224
543,49.49,67,2496,96,119220
553,49.52,67,2496,96,119224
563,49.73,67,2496,96,119225
573,49.82,67,2496,96,119226
583,49.76,68,2496,96,119228
594,49.98,68,2496,96,119237
604,39.15,66,2483,96,119230
614,38.89,65,2483,96,119230
624,37.42,65,2483,96,119226
634,37.32,64,2483,96,119230
644,37.22,64,2483,96,119231
654,37.18,64,2483,96,119232
664,37.13,64,2483,96,119228
674,36.24,63,2483,96,119230
684,36.15,63,2483,96,119228
694,51.59,65,2483,96,119236
704,41.24,64,2483,96,119244
714,41.20,64,2483,96,119244
724,41.27,64,2483,96,119252
735,41.28,64,2483,96,119241
745,38.85,64,2483,96,119242
755,38.68,64,2483,96,119238
765,38.50,64,2483,96,119241
775,38.45,63,2483,96,119243
785,36.14,63,2483,96,119244
795,36.12,63,2483,96,119248
805,36.10,63,2483,96,119240
815,36.03,62,2483,96,119233
825,36.08,62,2483,96,119225
835,52.61,64,2489,96,119230
845,41.10,64,2483,96,119235
855,41.14,64,2483,96,119235
865,41.42,64,2483,96,119241
875,41.22,64,2483,96,119240
886,41.03,64,2483,96,119234
896,41.26,64,2483,96,119230
906,38.88,64,2483,96,119233
916,38.48,63,2483,96,119234
926,37.08,63,2483,96,119240
936,37.06,63,2483,96,119230
946,36.02,63,2483,96,119235
956,49.14,65,2496,96,119243
966,49.42,66,2496,96,119239
976,41.62,65,2483,96,119240
986,41.22,65,2483,96,119238
996,38.83,64,2483,96,119318
1006,38.53,64,2489,96,119329
1016,38.40,64,2483,96,119370
1026,38.34,64,2483,96,119282
1037,38.58,64,2483,96,119248
1047,37.12,63,2483,96,119245
1057,36.76,63,2483,96,119247
1067,37.04,63,2483,96,119241
1077,36.96,63,2483,96,119233
1087,36.84,63,2483,96,119238
1097,36.03,62,2483,96,119242
1107,48.85,65,2496,96,119243
1117,41.26,65,2483,96,119247
1127,41.21,64,2483,96,119247
1137,41.21,64,2483,96,119253
1147,41.27,64,2483,96,119254
1157,41.19,64,2483,96,119258
1167,38.72,64,2483,96,119245
1177,38.47,63,2483,96,119244
1188,36.44,63,2483,96,119250
1198,36.94,63,2483,96,119255
1208,36.85,63,2483,96,119250
1218,36.86,63,2483,96,119246
1228,36.85,62,2483,96,119247
1238,36.00,62,2483,96,119240
1248,36.01,62,2502,96,119236
1258,36.02,62,2502,96,119243
