[02:10:04] === bench-spark run ===
[02:10:04] Profile: dense-31b
[02:10:04] Tests:   A B C D E F G H I J
[02:10:04] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[02:10:04] ── START A ──
[02:11:04]     ... A running: 60s, GPU 96%
[02:12:04]     ... A running: 120s, GPU 96%
[02:13:04]     ... A running: 180s, GPU 96%
[02:14:04]     ... A running: 240s, GPU 0%
[02:15:04]     ... A running: 300s, GPU 96%
[02:16:04]     ... A running: 360s, GPU 96%
[02:17:04]     ... A running: 420s, GPU 96%
[02:18:04]     ... A running: 480s, GPU 96%
[02:19:04]     ... A running: 540s, GPU 96%
[02:20:04]     ... A running: 600s, GPU 96%
[02:21:05]     ... A running: 661s, GPU 96%
[02:22:05]     ... A running: 721s, GPU 96%
[02:23:05]     ... A running: 781s, GPU 96%
[02:24:05]     ... A running: 841s, GPU 96%
[02:25:05]     ... A running: 901s, GPU 96%
[02:26:05]     ... A running: 961s, GPU 96%
[02:27:05]     ... A running: 1021s, GPU 96%
[02:28:05]     ... A running: 1081s, GPU 83%
[02:29:05]     ... A running: 1141s, GPU 96%
[02:30:05]     ... A running: 1201s, GPU 96%
[02:31:05]     ... A running: 1261s, GPU 96%
[02:32:05]     ... A running: 1321s, GPU 96%
[02:33:05]     ... A running: 1381s, GPU 96%
[02:34:05]     ... A running: 1441s, GPU 96%
[02:35:05]     ... A running: 1501s, GPU 96%
[02:36:05]     ... A running: 1561s, GPU 96%
[02:37:05]     ... A running: 1621s, GPU 96%
[02:38:05]     ... A running: 1681s, GPU 96%
[02:39:05]     ... A running: 1741s, GPU 96%
[02:40:05]     ... A running: 1801s, GPU 96%
[02:41:05]     ... A running: 1861s, GPU 96%
[02:42:05]     ... A running: 1921s, GPU 96%
[02:43:06]     ... A running: 1982s, GPU 96%
[02:44:06]     ... A running: 2042s, GPU 96%
[02:45:06]     ... A running: 2102s, GPU 96%
[02:46:06]     ... A running: 2162s, GPU 96%
[02:47:06]     ... A running: 2222s, GPU 96%
[02:48:06]     ... A running: 2282s, GPU 96%
[02:49:06]     ... A running: 2342s, GPU 96%
[02:50:06]     ... A running: 2402s, GPU 96%
[02:51:06]     ... A running: 2462s, GPU 31%
[02:52:06]     ... A running: 2522s, GPU 96%
[02:53:06]     ... A running: 2582s, GPU 96%
[02:54:06]     ... A running: 2642s, GPU 96%
[02:55:06]     ... A running: 2702s, GPU 96%
[02:56:06]     ... A running: 2762s, GPU 96%
[02:57:06]     ... A running: 2822s, GPU 96%
[02:58:06]     ... A running: 2882s, GPU 0%
[02:59:06]     ... A running: 2942s, GPU 96%
[03:00:06]     ... A running: 3002s, GPU 96%
[03:01:06]     ... A running: 3062s, GPU 96%
[03:02:06]     ... A running: 3122s, GPU 96%
[03:03:06]     ... A running: 3182s, GPU 96%
[03:04:06]     ... A running: 3242s, GPU 96%
[03:05:06]     ... A running: 3302s, GPU 96%
[03:06:06]     ... A running: 3362s, GPU 96%
[03:07:06]     ... A running: 3422s, GPU 96%
[03:08:07]     ... A running: 3483s, GPU 96%
[03:09:07]     ... A running: 3543s, GPU 96%
[03:10:07]     ... A running: 3603s, GPU 96%
[03:11:07]     ... A running: 3663s, GPU 96%
[03:12:07]     ... A running: 3723s, GPU 96%
[03:13:07]     ... A running: 3783s, GPU 96%
[03:14:07]     ... A running: 3843s, GPU 96%
[03:15:07]     ... A running: 3903s, GPU 96%
[03:16:07]     ... A running: 3963s, GPU 96%
[03:17:07]     ... A running: 4023s, GPU 96%
[03:18:07]     ... A running: 4083s, GPU 96%
[03:19:07]     ... A running: 4143s, GPU 96%
[03:20:07]     ... A running: 4203s, GPU 96%
[03:21:07]     ... A running: 4263s, GPU 96%
[03:22:07]     ... A running: 4323s, GPU 96%
[03:23:07]     ... A running: 4383s, GPU 96%
[03:24:07]     ... A running: 4443s, GPU 96%
[03:25:07]     ... A running: 4503s, GPU 96%
[03:26:07]     ... A running: 4563s, GPU 96%
[03:27:07]     ... A running: 4623s, GPU 96%
