elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,47.08,67,2496,96,123620
20,46.99,66,2496,96,123600
30,46.98,67,2496,96,123591
40,46.94,67,2496,96,123600
50,47.28,68,2496,96,123602
61,47.17,67,2496,96,123584
71,47.06,67,2496,96,123580
81,46.80,67,2496,96,123582
91,81.18,69,2457,96,123587
101,47.21,68,2496,96,123574
111,47.16,67,2496,96,123578
121,47.10,67,2496,96,123576
131,86.90,73,2463,96,123572
141,47.22,67,2496,96,123569
151,47.10,67,2496,96,123567
161,47.07,67,2496,96,123568
171,87.31,75,2463,96,123559
181,86.49,78,2437,96,123554
191,42.63,71,2496,96,123556
201,42.03,69,2496,96,123553
212,41.78,67,2496,96,123559
222,40.55,67,2496,96,123568
232,87.13,73,2463,96,123570
242,85.56,75,2444,96,123574
252,62.34,71,2483,96,123570
262,42.24,69,2496,96,123567
272,41.92,68,2496,96,123555
282,40.66,67,2496,96,123560
292,87.01,75,2457,96,123557
302,86.17,76,2457,96,123560
312,87.73,77,2457,96,123561
322,42.31,69,2496,96,123564
332,41.91,68,2496,96,123553
342,41.67,67,2496,96,123556
352,48.91,71,2496,96,123559
363,87.08,76,2437,96,123561
373,87.82,75,2457,96,123566
383,42.41,70,2496,96,123566
393,42.03,68,2496,96,123569
403,41.56,67,2496,96,123564
413,40.54,67,2496,96,123563
423,86.26,79,2450,96,123561
433,86.34,77,2437,96,123555
443,86.33,82,2437,96,123554
453,89.00,82,2437,96,123573
463,45.85,72,2470,96,123570
473,45.31,69,2496,96,123581
483,44.96,68,2496,96,123583
493,41.79,66,2496,96,123582
503,86.28,75,2463,96,123585
513,85.97,75,2450,96,123581
524,85.62,76,2437,96,123589
534,86.87,80,2444,96,123597
544,80.23,77,2457,96,123597
554,45.22,68,2496,96,123589
564,44.42,67,2496,96,123586
574,44.27,66,2496,96,123592
584,44.25,65,2496,96,123590
594,86.45,74,2463,96,123593
604,86.51,73,2444,96,123598
614,86.20,77,2450,96,123593
624,86.98,80,2418,96,123582
634,45.98,72,2470,96,123579
644,45.62,70,2496,96,123588
654,45.46,69,2496,96,123578
664,45.12,69,2496,96,123580
675,77.04,75,2457,96,123580
685,86.70,77,2431,96,123580
695,87.18,79,2444,96,123575
705,87.21,80,2437,96,123577
715,88.51,81,2450,96,123572
725,46.04,71,2496,96,123580
735,45.38,69,2496,96,123586
745,44.77,67,2496,96,123571
755,44.40,66,2496,96,123568
765,86.25,73,2457,96,123564
775,46.97,67,2496,96,123568
785,46.67,66,2496,96,123574
795,46.47,65,2496,96,123578
805,46.25,65,2496,96,123581
815,85.79,74,2457,96,123583
825,46.45,66,2496,96,123579
835,46.23,65,2496,96,123585
846,46.06,64,2496,96,123586
856,84.90,70,2470,96,123581
866,46.75,67,2496,96,123575
876,46.60,66,2496,96,123578
886,46.48,66,2496,96,123579
896,46.44,66,2496,96,123577
906,85.54,73,2470,96,123574
916,47.01,68,2496,96,123572
926,46.89,67,2496,96,123573
936,46.81,67,2496,96,123575
946,46.70,66,2496,96,123573
956,85.29,76,2463,96,123574
966,84.90,73,2450,96,123573
976,86.00,77,2437,96,123571
986,85.68,78,2437,96,123579
996,42.96,73,2470,96,123596
1006,42.43,70,2496,96,123594
1017,42.05,69,2496,96,123588
1027,41.77,68,2496,96,123583
1037,68.30,71,2496,53,123595
1047,85.68,79,2450,96,123574
1057,85.09,76,2424,96,123575
1067,85.48,79,2411,96,123578
1077,84.86,81,2457,96,123576
1087,42.88,72,2470,96,123588
1097,42.33,69,2496,96,123578
1107,41.71,67,2496,96,123580
1117,41.28,66,2496,96,123582
1127,85.08,76,2476,96,123585
1137,85.64,74,2463,96,123588
1147,84.71,73,2437,96,123589
1157,84.95,76,2424,96,123585
1167,86.30,74,2457,96,123577
1178,42.03,69,2496,96,123580
1188,41.46,67,2496,96,123585
1198,39.94,65,2496,96,123576
1208,39.72,64,2496,96,123581
1218,84.04,71,2457,96,123578
1228,85.55,73,2444,96,123588
1238,85.78,79,2444,96,123592
1248,85.07,82,2431,96,123591
1258,58.33,73,2470,96,123598
1268,42.53,70,2496,96,123578
1278,42.17,69,2496,96,123578
1288,41.85,68,2496,96,123574
1298,45.47,72,2476,96,123578
1308,84.93,78,2424,96,123581
1318,84.92,77,2424,96,123585
1328,85.19,79,2437,96,123589
1339,84.49,80,2444,96,123582
1349,85.47,80,2418,96,123585
1359,84.69,80,2437,96,123586
1369,85.18,77,2418,96,123591
1379,85.85,79,2424,96,123596
1389,85.24,80,2437,96,123589
1399,45.77,71,2470,96,123592
1409,45.21,69,2496,96,123596
1419,44.71,68,2496,96,123596
1429,44.43,67,2496,96,123583
1439,85.53,74,2450,96,123600
1449,85.18,72,2431,96,123592
1459,85.22,76,2431,96,123589
1469,85.56,76,2431,96,123586
1479,85.38,77,2444,96,123586
1489,85.13,75,2424,96,123584
1499,84.75,78,2437,96,123576
1510,85.15,78,2424,96,123577
1520,84.87,79,2444,96,123569
1530,83.67,79,2463,96,123577
1540,45.47,70,2496,96,123582
1550,44.81,68,2496,96,123581
1560,44.62,66,2496,96,123580
1570,44.33,65,2496,96,123587
1580,86.54,75,2470,96,123591
1590,85.29,71,2457,96,123590
1600,85.92,75,2444,96,123598
1610,86.01,76,2431,96,123590
1620,86.10,77,2450,96,123584
1630,85.25,74,2444,96,123592
1640,86.12,77,2431,96,123593
1650,85.22,77,2463,96,123588
1660,83.63,77,2431,96,123592
1670,45.81,72,2470,96,123594
1681,45.22,69,2496,96,123603
1691,44.88,67,2496,96,123603
1701,44.32,66,2496,96,123607
1711,44.11,65,2496,96,123606
1721,85.47,75,2450,96,123614
1731,85.71,72,2444,96,123610
1741,85.94,79,2431,96,123609
1751,85.60,78,2437,96,123601
1761,85.54,79,2450,96,123599
1771,85.95,78,2411,96,123600
1781,86.26,79,2411,96,123595
1791,85.24,80,2424,96,123594
1801,85.36,77,2411,96,123587
1811,46.45,73,2470,96,123589
1821,45.56,70,2496,96,123589
1831,45.11,68,2496,96,123589
1842,44.55,67,2496,96,123592
1852,44.23,66,2496,96,123588
1862,85.90,73,2470,96,123589
1872,81.70,71,2483,96,123591
1882,46.83,68,2496,96,123585
1892,46.33,66,2496,96,123586
1902,46.36,66,2496,96,123600
1912,46.21,65,2496,96,123593
1922,85.46,72,2463,96,123587
1932,84.13,74,2476,96,123594
1942,46.49,67,2496,96,123593
1952,46.33,66,2496,96,123594
1962,46.16,65,2496,96,123599
1972,46.08,64,2496,96,123593
1982,84.17,70,2437,96,123592
1992,80.70,71,2496,96,123593
2002,46.89,68,2496,96,123591
2013,46.86,67,2496,96,123586
2023,46.69,67,2496,96,123584
2033,46.58,67,2496,96,123584
2043,84.36,75,2450,96,123589
2053,81.58,75,2457,96,123590
2063,47.43,70,2496,96,123587
2073,47.03,69,2496,96,123590
2083,46.87,68,2496,96,123588
2093,46.67,68,2496,96,123584
2103,84.27,75,2431,96,123593
2113,80.89,80,2444,96,123586
2123,81.12,75,2437,96,123562
2133,80.47,80,2405,96,123594
2143,83.75,77,2379,96,123622
2153,80.01,78,2372,96,123601
2163,78.68,81,2392,96,123579
2173,81.77,83,2457,96,123571
2184,82.68,80,2418,96,123548
2194,80.06,77,2444,96,123548
2204,85.21,78,2450,96,123547
2214,42.39,70,2496,96,123554
2224,41.79,68,2496,96,123565
2234,41.34,66,2496,96,123564
2244,41.09,65,2496,96,123574
2254,84.45,73,2450,96,123565
2264,79.46,77,2470,96,123556
2274,83.77,77,2463,96,123557
2284,80.84,75,2444,96,123560
2294,81.56,76,2450,96,123563
2304,84.53,79,2444,96,123562
2314,82.17,83,2405,96,123565
2324,81.58,80,2444,96,123560
2334,83.10,82,2424,96,123560
2345,80.61,76,2470,96,123551
2355,87.05,81,2450,96,123555
2365,42.38,70,2496,96,123550
2375,41.79,68,2496,96,123553
2385,41.33,66,2496,96,123546
