[11:15:39] === bench-spark run ===
[11:15:39] Profile: dense-31b-nvfp4
[11:15:39] Tests:   C D E F G H I J
[11:15:39] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/nvfp4
[11:15:39] ── START C ──
[11:16:39]     ... C running: 60s, GPU 96%
[11:17:39]     ... C running: 120s, GPU 96%
[11:18:39]     ... C running: 180s, GPU 96%
[11:19:39]     ... C running: 240s, GPU 96%
[11:20:39]     ... C running: 300s, GPU 96%
[11:21:39]     ... C running: 360s, GPU 96%
[11:22:39]     ... C running: 420s, GPU 96%
[11:23:39]     ... C running: 480s, GPU 96%
[11:24:39]     ... C running: 540s, GPU 96%
[11:25:39]     ... C running: 600s, GPU 96%
[11:26:39]     ... C running: 660s, GPU 96%
[11:27:40]     ... C running: 721s, GPU 96%
[11:28:40]     ... C running: 781s, GPU 96%
[11:29:40]     ... C running: 841s, GPU 96%
[11:30:40]     ... C running: 901s, GPU 96%
[11:31:40]     ... C running: 961s, GPU 96%
[11:32:40]     ... C running: 1021s, GPU 96%
[11:33:40]     ... C running: 1081s, GPU 96%
[11:34:40]     ... C running: 1141s, GPU 96%
[11:35:40]     ... C running: 1201s, GPU 96%
[11:36:40]     ... C running: 1261s, GPU 96%
[11:37:40]     ... C running: 1321s, GPU 96%
[11:38:40]     ... C running: 1381s, GPU 96%
[11:39:40]     ... C running: 1441s, GPU 96%
[11:40:40]     ... C running: 1501s, GPU 96%
[11:41:40]     ... C running: 1561s, GPU 96%
[11:42:40]     ... C running: 1621s, GPU 96%
[11:43:40]     ... C running: 1681s, GPU 96%
[11:44:40]     ... C running: 1741s, GPU 96%
[11:45:40]     ... C running: 1801s, GPU 96%
[11:46:40]     ... C running: 1861s, GPU 96%
[11:47:41]     ... C running: 1922s, GPU 96%
[11:48:41]     ... C running: 1982s, GPU 96%
[11:49:41]     ... C running: 2042s, GPU 96%
[11:50:41]     ... C running: 2102s, GPU 96%
[11:51:41]     ... C running: 2162s, GPU 96%
[11:52:41]     ... C running: 2222s, GPU 96%
[11:53:41]     ... C running: 2282s, GPU 96%
[11:54:41]     ... C running: 2342s, GPU 96%
[11:55:41]     ... C running: 2402s, GPU 96%
[11:56:41]     ... C running: 2462s, GPU 96%
[11:57:41]     ... C running: 2522s, GPU 96%
[11:58:41]     ... C running: 2582s, GPU 96%
[11:59:41]     ... C running: 2642s, GPU 96%
[12:00:41]     ... C running: 2702s, GPU 96%
[12:01:41]     ... C running: 2762s, GPU 96%
[12:02:41]     ... C running: 2822s, GPU 96%
[12:03:41]     ... C running: 2882s, GPU 96%
[12:04:41]     ... C running: 2942s, GPU 96%
[12:05:41]     ... C running: 3002s, GPU 96%
[12:06:41]     ... C running: 3062s, GPU 96%
[12:07:41]     ... C running: 3122s, GPU 96%
[12:08:41]     ... C running: 3182s, GPU 96%
[12:09:42]     ... C running: 3243s, GPU 96%
[12:10:42]     ... C running: 3303s, GPU 96%
[12:11:42]     ... C running: 3363s, GPU 96%
[12:12:42]     ... C running: 3423s, GPU 96%
[12:13:42]     ... C running: 3483s, GPU 96%
[12:14:42]     ... C running: 3543s, GPU 96%
[12:15:33] ── END C (3594s) ──
[12:15:33] ── START D ──
[12:16:33]     ... D running: 60s, GPU 96%
[12:17:33]     ... D running: 120s, GPU 96%
[12:18:34]     ... D running: 181s, GPU 96%
[12:19:34]     ... D running: 241s, GPU 96%
[12:20:34]     ... D running: 301s, GPU 96%
[12:21:34]     ... D running: 361s, GPU 96%
[12:22:34]     ... D running: 421s, GPU 96%
[12:23:34]     ... D running: 481s, GPU 96%
[12:24:34]     ... D running: 541s, GPU 96%
[12:25:34]     ... D running: 601s, GPU 96%
[12:26:34]     ... D running: 661s, GPU 96%
[12:27:34]     ... D running: 721s, GPU 96%
[12:28:34]     ... D running: 781s, GPU 96%
[12:29:34]     ... D running: 841s, GPU 96%
[12:30:34]     ... D running: 901s, GPU 96%
[12:31:34]     ... D running: 961s, GPU 96%
[12:32:34]     ... D running: 1021s, GPU 96%
[12:33:34]     ... D running: 1081s, GPU 96%
[12:34:34]     ... D running: 1141s, GPU 96%
[12:35:34]     ... D running: 1201s, GPU 96%
[12:36:34]     ... D running: 1261s, GPU 96%
[12:37:34]     ... D running: 1321s, GPU 96%
[12:38:34]     ... D running: 1381s, GPU 96%
[12:39:35]     ... D running: 1442s, GPU 96%
[12:40:35]     ... D running: 1502s, GPU 96%
[12:41:35]     ... D running: 1562s, GPU 96%
[12:42:35]     ... D running: 1622s, GPU 96%
[12:43:35]     ... D running: 1682s, GPU 96%
[12:44:35]     ... D running: 1742s, GPU 96%
[12:45:35]     ... D running: 1802s, GPU 96%
[12:46:35]     ... D running: 1862s, GPU 96%
[12:47:35]     ... D running: 1922s, GPU 96%
[12:48:35]     ... D running: 1982s, GPU 96%
[12:49:35]     ... D running: 2042s, GPU 96%
[12:50:34] ── END D (2101s) ──
[12:50:34] ── START E ──
[12:51:34]     ... E running: 60s, GPU 96%
[12:52:34]     ... E running: 120s, GPU 96%
[12:53:34]     ... E running: 180s, GPU 96%
[12:54:34]     ... E running: 240s, GPU 96%
[12:55:34]     ... E running: 300s, GPU 96%
[12:56:34]     ... E running: 360s, GPU 96%
[12:57:34]     ... E running: 420s, GPU 96%
[12:58:34]     ... E running: 480s, GPU 96%
[12:59:34]     ... E running: 540s, GPU 96%
[13:00:34]     ... E running: 600s, GPU 96%
[13:01:14] ── END E (640s) ──
[13:01:14] ── START F ──
[13:02:14]     ... F running: 60s, GPU 96%
[13:03:14]     ... F running: 120s, GPU 96%
[13:04:14]     ... F running: 180s, GPU 96%
[13:05:14]     ... F running: 240s, GPU 96%
[13:06:15]     ... F running: 301s, GPU 96%
[13:07:15]     ... F running: 361s, GPU 96%
[13:08:15]     ... F running: 421s, GPU 96%
[13:09:15]     ... F running: 481s, GPU 96%
[13:10:15]     ... F running: 541s, GPU 96%
[13:11:15]     ... F running: 601s, GPU 96%
[13:12:15]     ... F running: 661s, GPU 96%
[13:13:15]     ... F running: 721s, GPU 96%
[13:14:15]     ... F running: 781s, GPU 96%
[13:15:15]     ... F running: 841s, GPU 96%
[13:16:15]     ... F running: 901s, GPU 96%
[13:17:15]     ... F running: 961s, GPU 96%
[13:18:15]     ... F running: 1021s, GPU 96%
[13:19:15]     ... F running: 1081s, GPU 96%
[13:20:15]     ... F running: 1141s, GPU 96%
[13:21:15]     ... F running: 1201s, GPU 96%
[13:22:15]     ... F running: 1261s, GPU 96%
[13:23:15]     ... F running: 1321s, GPU 96%
[13:24:15]     ... F running: 1381s, GPU 96%
[13:25:15]     ... F running: 1441s, GPU 96%
[13:25:39] ── END F (1465s) ──
[13:25:39] ── START G ──
[13:26:39]     ... G running: 60s, GPU 96%
[13:27:39]     ... G running: 120s, GPU 96%
[13:28:39]     ... G running: 180s, GPU 96%
[13:29:39]     ... G running: 240s, GPU 96%
[13:30:39]     ... G running: 300s, GPU 96%
[13:31:39]     ... G running: 360s, GPU 96%
[13:32:39]     ... G running: 420s, GPU 96%
[13:33:39]     ... G running: 480s, GPU 96%
[13:34:39]     ... G running: 540s, GPU 96%
[13:35:21] ── END G (582s) ──
[13:35:21] ── START H ──
[13:36:21]     ... H running: 60s, GPU 96%
[13:37:21]     ... H running: 120s, GPU 96%
[13:38:21]     ... H running: 180s, GPU 96%
[13:39:21]     ... H running: 240s, GPU 96%
[13:40:21]     ... H running: 300s, GPU 96%
[13:41:21]     ... H running: 360s, GPU 96%
[13:42:21]     ... H running: 420s, GPU 96%
[13:43:21]     ... H running: 480s, GPU 96%
[13:44:21]     ... H running: 540s, GPU 96%
[13:45:21]     ... H running: 600s, GPU 96%
[13:46:21]     ... H running: 660s, GPU 96%
[13:47:21]     ... H running: 720s, GPU 96%
[13:48:21]     ... H running: 780s, GPU 96%
[13:49:21]     ... H running: 840s, GPU 96%
[13:50:21]     ... H running: 900s, GPU 96%
[13:51:21]     ... H running: 960s, GPU 96%
[13:52:21]     ... H running: 1020s, GPU 96%
[13:53:21]     ... H running: 1080s, GPU 96%
[13:54:13] ── END H (1132s) ──
[13:54:13] ── START I ──
[13:54:20] WARN: kon I_sharegpt-replay.json niet ophalen
[13:54:20] ── END I (7s) ──
[13:54:20] ── START J ──
[13:55:20]     ... J running: 60s, GPU 96%
[13:56:20]     ... J running: 120s, GPU 96%
[13:57:20]     ... J running: 180s, GPU 96%
[13:58:20]     ... J running: 240s, GPU 96%
[13:59:20]     ... J running: 300s, GPU 96%
[14:00:20]     ... J running: 360s, GPU 96%
[14:01:20]     ... J running: 420s, GPU 96%
[14:02:20]     ... J running: 480s, GPU 96%
[14:03:20]     ... J running: 540s, GPU 96%
[14:04:20]     ... J running: 600s, GPU 96%
[14:05:20]     ... J running: 660s, GPU 96%
[14:06:20]     ... J running: 720s, GPU 96%
[14:07:20]     ... J running: 780s, GPU 96%
[14:08:20]     ... J running: 840s, GPU 96%
[14:09:20]     ... J running: 900s, GPU 96%
[14:10:20]     ... J running: 960s, GPU 96%
[14:11:20]     ... J running: 1020s, GPU 96%
[14:12:20]     ... J running: 1080s, GPU 96%
[14:13:21]     ... J running: 1141s, GPU 96%
[14:14:21]     ... J running: 1201s, GPU 96%
[14:15:21]     ... J running: 1261s, GPU 96%
[14:16:21]     ... J running: 1321s, GPU 96%
[14:17:21]     ... J running: 1381s, GPU 96%
[14:18:21]     ... J running: 1441s, GPU 96%
[14:19:21]     ... J running: 1501s, GPU 96%
[14:20:21]     ... J running: 1561s, GPU 96%
[14:21:21]     ... J running: 1621s, GPU 96%
[14:22:21]     ... J running: 1681s, GPU 96%
[14:23:21]     ... J running: 1741s, GPU 96%
[14:24:21]     ... J running: 1801s, GPU 96%
[14:25:21]     ... J running: 1861s, GPU 96%
[14:26:21]     ... J running: 1921s, GPU 96%
[14:27:21]     ... J running: 1981s, GPU 96%
[14:28:21]     ... J running: 2041s, GPU 96%
[14:29:21]     ... J running: 2101s, GPU 96%
[14:30:21]     ... J running: 2161s, GPU 96%
[14:30:35] ── END J (2175s) ──
[14:30:35] === klaar (11696s = 194m) ===

════════ nieuwe sessie 2026-08-16T18:20:42+02:00 ════════
[18:20:42] === bench-spark run ===
[18:20:42] Profile: dense-31b-nvfp4
[18:20:42] Tests:   01 02 03 04 05 06 07 08 09 10 11
[18:20:42] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/nvfp4
[18:20:47] Sanity-check op modeloutput...
[18:20:53] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5.
[18:20:53] ── START 01 ──
[18:21:53]     ... 01 running: 60s, GPU 96%, 45.15W, 64C, 2496MHz
[18:22:54]     ... 01 running: 121s, GPU 96%, 47.69W, 69C, 2496MHz
[18:23:54]     ... 01 running: 181s, GPU 96%, 47.51W, 69C, 2496MHz
[18:24:55]     ... 01 running: 242s, GPU 96%, 39.94W, 65C, 2496MHz
[18:25:55]     ... 01 running: 302s, GPU 96%, 41.28W, 65C, 2496MHz
[18:26:55]     ... 01 running: 362s, GPU 96%, 41.29W, 66C, 2496MHz
[18:27:56]     ... 01 running: 423s, GPU 96%, 46.78W, 66C, 2496MHz
[18:28:56]     ... 01 running: 483s, GPU 96%, 41.24W, 65C, 2496MHz
[18:29:57]     ... 01 running: 544s, GPU 96%, 87.93W, 76C, 2457MHz
[18:30:57]     ... 01 running: 604s, GPU 96%, 41.45W, 65C, 2496MHz
[18:31:58]     ... 01 running: 665s, GPU 96%, 38.74W, 63C, 2496MHz
[18:32:58]     ... 01 running: 725s, GPU 96%, 44.61W, 66C, 2496MHz
[18:33:58]     ... 01 running: 785s, GPU 96%, 41.19W, 64C, 2496MHz
[18:34:59]     ... 01 running: 846s, GPU 96%, 46.66W, 65C, 2496MHz
[18:35:59]     ... 01 running: 906s, GPU 96%, 44.50W, 66C, 2496MHz
[18:36:59]     ... 01 running: 966s, GPU 96%, 55.47W, 69C, 2496MHz
[18:38:00]     ... 01 running: 1027s, GPU 96%, 39.94W, 65C, 2496MHz
[18:38:17] ── END 01 (1044s) ──
[18:38:17] ── START 02 ──
[18:39:17]     ... 02 running: 60s, GPU 96%, 42.66W, 71C, 2496MHz
[18:40:18]     ... 02 running: 121s, GPU 96%, 40.21W, 66C, 2496MHz
[18:41:18]     ... 02 running: 181s, GPU 96%, 87.40W, 80C, 2450MHz
[18:42:18]     ... 02 running: 241s, GPU 96%, 40.77W, 64C, 2496MHz
[18:43:19]     ... 02 running: 302s, GPU 96%, 85.31W, 82C, 2444MHz
[18:44:19]     ... 02 running: 362s, GPU 96%, 41.62W, 67C, 2496MHz
[18:45:19]     ... 02 running: 422s, GPU 96%, 85.71W, 78C, 2418MHz
[18:46:20]     ... 02 running: 483s, GPU 96%, 41.03W, 65C, 2496MHz
[18:47:20]     ... 02 running: 543s, GPU 96%, 85.10W, 79C, 2431MHz
[18:48:21]     ... 02 running: 604s, GPU 96%, 86.49W, 80C, 2444MHz
[18:49:21]     ... 02 running: 664s, GPU 96%, 44.53W, 65C, 2496MHz
[18:50:21]     ... 02 running: 724s, GPU 96%, 84.77W, 77C, 2457MHz
[18:51:22]     ... 02 running: 785s, GPU 96%, 84.79W, 81C, 2424MHz
[18:52:22]     ... 02 running: 845s, GPU 96%, 44.22W, 66C, 2496MHz
[18:53:22]     ... 02 running: 905s, GPU 96%, 86.14W, 77C, 2470MHz
[18:54:23]     ... 02 running: 966s, GPU 96%, 85.57W, 82C, 2431MHz
[18:55:23]     ... 02 running: 1026s, GPU 96%, 44.19W, 65C, 2496MHz
[18:56:24]     ... 02 running: 1087s, GPU 96%, 86.10W, 77C, 2431MHz
[18:57:24]     ... 02 running: 1147s, GPU 96%, 85.57W, 82C, 2444MHz
[18:58:24]     ... 02 running: 1207s, GPU 96%, 44.22W, 65C, 2496MHz
[18:59:25]     ... 02 running: 1268s, GPU 96%, 84.44W, 77C, 2463MHz
[19:00:25]     ... 02 running: 1328s, GPU 96%, 85.05W, 79C, 2463MHz
[19:01:25]     ... 02 running: 1388s, GPU 96%, 85.08W, 80C, 2431MHz
[19:02:26]     ... 02 running: 1449s, GPU 96%, 51.56W, 71C, 2476MHz
[19:03:26]     ... 02 running: 1509s, GPU 96%, 43.59W, 65C, 2496MHz
[19:04:26]     ... 02 running: 1569s, GPU 96%, 86.37W, 77C, 2437MHz
[19:05:17]     ... 02 running: 1620s, GPU 96%, 85.75W, 81C, 2463MHz
[19:06:17]     ... 02 running: 1680s, GPU 96%, 86.17W, 79C, 2411MHz
[19:07:17]     ... 02 running: 1740s, GPU 96%, 51.74W, 72C, 2470MHz
[19:08:18]     ... 02 running: 1801s, GPU 96%, 50.54W, 67C, 2496MHz
[19:09:18]     ... 02 running: 1861s, GPU 96%, 85.68W, 76C, 2437MHz
[19:10:18]     ... 02 running: 1921s, GPU 96%, 85.61W, 79C, 2457MHz
[19:11:19]     ... 02 running: 1982s, GPU 96%, 85.62W, 79C, 2437MHz
[19:12:19]     ... 02 running: 2042s, GPU 96%, 51.38W, 72C, 2470MHz
[19:13:19]     ... 02 running: 2102s, GPU 96%, 50.42W, 67C, 2496MHz
[19:14:20]     ... 02 running: 2163s, GPU 96%, 85.90W, 79C, 2444MHz
[19:15:20]     ... 02 running: 2223s, GPU 96%, 85.56W, 80C, 2431MHz
[19:16:20]     ... 02 running: 2283s, GPU 96%, 86.26W, 79C, 2418MHz
[19:17:21]     ... 02 running: 2344s, GPU 96%, 51.62W, 72C, 2476MHz
[19:18:21]     ... 02 running: 2404s, GPU 96%, 50.59W, 67C, 2496MHz
[19:19:05] ── END 02 (2448s) ──
[19:19:05] ── START 03 ──
[19:20:05]     ... 03 running: 60s, GPU 96%, 47.76W, 69C, 2496MHz
