elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.03,60,2411,0,122909
20,14.43,58,2411,0,122609
30,37.94,63,2496,96,122566
40,40.68,63,2496,96,122483
50,38.40,64,2496,96,122419
60,40.58,65,2496,96,122341
70,37.10,64,2496,96,122280
81,45.81,66,2496,96,122210
91,45.85,65,2496,96,122159
101,40.99,64,2496,96,122145
111,38.45,65,2496,96,122151
121,45.86,66,2496,96,122166
131,36.88,64,2496,96,122177
141,45.98,66,2496,96,122176
151,37.51,65,2496,96,122174
161,38.38,64,2496,96,122180
171,37.15,64,2496,96,122176
181,36.83,64,2496,96,122182
191,45.92,66,2496,96,122175
201,37.15,64,2496,96,122190
211,36.49,64,2496,96,122190
221,37.12,64,2496,96,122200
232,38.32,64,2496,96,122199
242,38.30,64,2496,96,122199
252,37.85,64,2496,96,122213
262,36.41,64,2496,96,122204
272,37.61,64,2496,96,122206
282,36.94,64,2496,96,122216
292,36.99,64,2496,96,122225
302,36.98,64,2496,96,122232
312,40.39,64,2496,96,122230
322,38.24,64,2496,96,122234
332,37.81,64,2496,96,122235
342,36.83,64,2496,96,122231
352,36.16,63,2496,96,122232
362,14.57,59,2411,0,122242
372,32.34,61,2509,96,122300
382,35.71,61,2515,96,122334
392,35.67,62,2515,96,122324
403,36.19,63,2496,96,122362
413,37.66,63,2496,96,122305
423,36.29,64,2496,96,122262
433,37.67,63,2496,96,122264
443,40.62,64,2496,96,122254
453,36.91,63,2496,96,122263
463,37.62,63,2496,96,122260
473,38.10,64,2496,96,122270
483,38.02,64,2496,96,122276
493,37.13,65,2489,91,122277
503,37.94,63,2496,96,122275
513,38.26,63,2496,96,122284
523,36.78,63,2496,96,122282
533,39.47,63,2496,96,122282
543,45.53,64,2496,96,122269
553,36.16,63,2496,96,122270
563,45.18,65,2496,96,122258
574,36.08,62,2515,96,122258
584,45.41,64,2496,96,122253
594,43.20,63,2496,96,122254
604,36.14,63,2496,96,122247
614,37.43,63,2496,96,122248
624,40.96,64,2496,96,122243
634,38.02,63,2496,96,122244
644,45.54,65,2496,96,122242
654,45.70,65,2496,96,122241
664,44.01,67,2489,96,122244
674,38.23,64,2496,96,122251
684,48.44,62,2496,96,122258
694,43.09,64,2496,96,122264
704,45.64,65,2496,96,122259
714,45.78,65,2496,96,122260
725,36.96,64,2496,96,122263
735,14.44,59,2411,0,122268
745,32.80,60,2515,3,122271
755,45.15,62,2515,96,122259
765,45.24,63,2496,96,122265
775,44.55,62,2515,96,122266
785,14.21,57,2411,0,122259
795,44.85,62,2515,96,122264
805,13.99,55,2411,0,122272
815,27.89,54,2411,0,122271
825,44.67,60,2515,96,122270
835,35.60,60,2515,96,122269
845,44.96,62,2515,96,122265
855,45.06,63,2496,96,122267
