elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,44.14,71,2476,96,120606
20,44.21,71,2476,96,120556
30,44.10,71,2463,96,120558
40,44.28,71,2476,96,120551
50,53.37,71,2463,96,120554
60,44.02,71,2496,96,120556
70,41.68,71,2496,96,120554
80,43.58,71,2476,96,120548
90,43.18,71,2496,96,120548
100,44.02,72,2496,96,120551
110,44.00,71,2496,96,120543
120,45.57,72,2470,96,120548
131,42.89,71,2496,96,120596
141,45.80,73,2470,96,120604
151,45.78,73,2470,96,120578
161,84.61,81,2405,96,120583
171,44.49,73,2470,96,120606
181,96.62,81,2437,96,120586
191,45.90,73,2470,96,120587
201,45.93,72,2470,96,120589
