elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.37,62,2411,0,121219
20,39.40,66,2496,96,121112
30,43.34,67,2496,96,121080
40,42.88,69,2496,96,121022
50,40.43,70,2496,96,120962
60,43.92,71,2476,96,120928
70,39.25,71,2496,96,120906
80,38.25,70,2496,96,120863
90,55.63,71,2470,96,120832
100,40.77,71,2496,96,120772
110,40.38,71,2496,96,120724
121,40.53,71,2496,96,120694
131,38.22,70,2496,96,120667
141,39.17,70,2496,96,120664
151,40.62,70,2496,96,120665
161,40.71,71,2496,96,120683
171,40.88,71,2496,96,120666
181,40.50,71,2496,96,120664
191,39.21,70,2496,96,120662
201,39.77,70,2496,96,120665
211,49.44,71,2489,96,120676
221,40.72,71,2496,96,120679
231,40.88,71,2496,96,120684
241,45.13,71,2496,96,120685
251,40.83,71,2496,96,120685
261,41.50,71,2496,96,120687
272,40.79,71,2496,96,120690
282,40.84,71,2496,96,120695
292,44.44,71,2470,96,120695
302,48.27,74,2470,93,120686
312,40.66,71,2470,96,120679
322,43.60,72,2496,96,120681
332,40.71,71,2470,96,120682
342,39.39,71,2496,96,120678
352,46.35,73,2470,96,120683
362,22.28,64,2405,0,120680
372,37.83,69,2496,96,120679
382,40.47,69,2496,96,120683
392,40.30,70,2496,96,120685
402,39.15,70,2496,96,120684
412,41.16,70,2489,96,120687
422,40.61,70,2496,96,120700
433,44.15,70,2496,96,120701
443,40.71,70,2496,96,120702
453,41.58,72,2496,96,120709
463,40.77,71,2496,96,120707
473,40.90,71,2496,96,120701
483,40.79,71,2496,96,120701
493,40.67,71,2483,96,120704
503,56.54,72,2437,96,120707
513,41.53,71,2483,96,120701
523,40.69,71,2496,96,120696
533,39.30,71,2496,96,120699
543,39.17,71,2496,96,120688
553,40.57,71,2496,96,120812
563,38.83,71,2496,96,120813
573,40.01,71,2470,96,120789
584,46.44,72,2470,96,120795
594,38.35,72,2496,96,120812
604,46.43,75,2470,96,120768
614,43.35,72,2470,96,120750
624,43.39,72,2470,96,120749
634,42.40,72,2476,96,120746
644,39.41,71,2496,96,120745
654,41.52,71,2496,96,120738
664,40.68,71,2496,96,120738
674,50.28,77,2489,96,120736
684,40.81,71,2496,96,120743
694,16.58,68,2405,0,120759
704,38.38,71,2496,96,120749
714,44.67,71,2496,96,120747
724,38.46,71,2496,96,120749
735,59.08,77,2470,95,120747
745,49.41,73,2470,96,120745
755,38.67,71,2496,96,120748
765,49.63,78,2470,96,120749
775,16.17,66,2405,0,120755
785,38.69,69,2496,96,120753
795,15.80,64,2405,0,120745
805,60.42,76,2496,96,120744
815,48.94,70,2496,96,120745
825,38.80,69,2496,96,120744
835,38.08,69,2496,96,120742
845,39.80,70,2496,96,120736
855,49.29,71,2496,96,120735
865,49.25,72,2470,96,120732
