elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,74.92,77,2450,96,121440
20,73.09,78,2450,96,121419
31,75.15,74,2450,96,121388
41,74.12,75,2450,96,121398
51,75.95,76,2450,96,121400
61,73.84,76,2450,96,121407
71,76.20,76,2450,95,121405
81,76.43,80,2444,96,121394
91,77.10,79,2444,95,121399
101,66.94,76,2457,96,121403
111,38.49,73,2470,96,121398
121,37.94,70,2496,96,121397
131,37.64,69,2496,96,121407
141,37.92,68,2496,96,121406
151,74.84,73,2450,96,121398
161,72.81,73,2450,96,121389
171,76.18,75,2450,95,121392
181,74.09,79,2444,96,121392
191,75.84,76,2450,96,121384
202,73.54,76,2450,96,121406
212,75.99,77,2444,96,121485
222,73.76,77,2444,96,121430
232,76.12,77,2444,96,121428
242,73.04,79,2444,96,121424
252,38.41,72,2470,96,121425
262,38.05,70,2496,96,121419
272,37.58,69,2496,96,121412
282,37.41,68,2496,96,121418
292,74.85,74,2450,96,121414
302,77.16,76,2450,96,121422
312,76.04,76,2450,96,121427
322,77.12,81,2444,96,121421
332,76.13,76,2444,96,121420
342,77.75,79,2444,96,121422
352,77.00,76,2444,96,121416
362,76.81,78,2444,96,121418
372,77.00,77,2444,96,121422
382,78.09,77,2444,96,121422
393,38.37,71,2496,96,121424
403,37.79,69,2496,96,121423
413,37.34,68,2496,96,121423
423,71.02,73,2450,96,121425
433,73.93,73,2450,96,121426
443,72.55,75,2450,96,121426
453,74.00,75,2450,96,121432
463,74.50,77,2444,96,121433
473,74.00,80,2450,96,121426
483,73.87,80,2444,95,121432
493,73.61,78,2444,96,121428
503,73.42,80,2444,96,121425
513,73.89,78,2444,96,121422
523,38.99,73,2470,96,121424
533,38.42,71,2496,96,121414
544,37.85,69,2496,96,121421
554,37.35,68,2496,96,121419
