elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.59,58,2411,0,118758
20,63.53,66,2424,96,118752
30,68.45,75,2483,96,118707
40,72.77,67,2483,96,118701
50,64.58,67,2405,96,118709
60,60.88,75,2496,96,118711
70,71.07,76,2463,96,118709
80,64.76,69,2489,96,118706
90,69.01,70,2418,96,118718
100,82.86,77,2444,96,118715
110,45.11,70,2496,96,118712
121,72.09,70,2483,96,118714
131,62.87,70,2496,96,118706
141,42.21,70,2496,96,118705
151,42.25,70,2496,96,118699
161,64.09,79,2411,96,118704
171,58.31,71,2496,96,118710
181,59.48,71,2450,96,118730
191,50.30,78,2470,96,118722
201,54.80,71,2496,96,118719
211,42.41,71,2496,96,118708
221,66.37,72,2437,96,118710
231,83.14,74,2411,96,118710
241,51.51,71,2470,96,118709
251,50.54,72,2470,96,118830
261,49.34,71,2463,96,118820
271,74.82,79,2470,96,118813
282,67.03,80,2470,96,118823
292,81.20,73,2444,96,118758
302,45.09,72,2470,96,118748
312,42.86,71,2496,96,118741
322,38.70,69,2496,96,118734
