elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.99,62,2411,0,122904
20,39.11,65,2496,96,122421
30,42.73,66,2496,96,122598
40,39.53,67,2496,96,122568
50,39.62,67,2496,96,122541
60,43.90,67,2476,96,122489
70,39.71,67,2496,96,122430
80,39.24,65,2496,96,122361
90,39.10,66,2496,96,122312
100,49.92,68,2483,96,122266
110,39.03,67,2496,96,122258
120,39.24,67,2496,96,122231
130,39.76,67,2496,96,122186
140,39.60,67,2496,96,122148
150,40.55,68,2496,96,122126
161,40.72,68,2496,96,122123
171,39.15,67,2496,96,122107
181,39.90,68,2496,96,122106
191,31.83,67,2496,0,122116
201,39.55,67,2496,96,122133
211,42.85,67,2496,96,122127
221,40.70,68,2496,96,122146
231,45.69,69,2444,2,122149
241,40.34,68,2496,96,122148
251,39.65,68,2496,96,122145
261,39.90,68,2496,96,122142
271,39.80,68,2496,96,122145
281,40.01,68,2496,96,122164
291,45.31,67,2489,47,122159
301,39.73,68,2496,96,122167
311,39.80,68,2496,96,122172
322,40.80,68,2496,96,122176
332,39.75,68,2496,96,122180
342,39.94,67,2496,96,122180
352,39.82,67,2496,96,122182
362,15.52,63,2405,0,122186
372,39.40,66,2496,96,122193
382,14.66,60,2411,0,122195
392,38.18,64,2496,96,122211
402,42.40,65,2496,96,122210
412,38.78,65,2496,96,122212
422,39.85,64,2496,96,122223
432,39.13,65,2496,96,122235
442,39.98,73,2392,96,122238
452,39.71,66,2496,96,122229
462,42.23,66,2489,76,122245
472,40.44,66,2496,96,122248
482,38.88,66,2496,96,122249
493,43.32,67,2483,96,122245
503,39.54,67,2496,96,122252
513,40.40,67,2496,96,122266
523,39.59,66,2496,96,122275
533,14.95,61,2411,0,122280
543,38.65,63,2496,96,122274
553,38.96,64,2496,96,122280
563,39.06,65,2496,96,122290
573,41.72,65,2496,96,122282
583,39.26,65,2496,96,122283
593,39.22,65,2496,96,122282
603,38.90,64,2496,96,122287
613,39.21,65,2496,96,122281
623,40.41,66,2496,96,122283
633,39.41,66,2496,96,122284
643,39.54,66,2496,96,122286
653,38.97,64,2496,96,122289
663,38.95,65,2496,96,122295
674,38.56,65,2496,96,122294
684,40.27,65,2496,96,122295
694,15.13,61,2411,0,121703
704,38.88,65,2496,96,121758
714,19.65,60,2411,0,121809
724,38.58,64,2496,96,121776
734,39.15,65,2496,96,121742
744,39.09,64,2496,96,121715
754,24.23,68,2411,0,121710
764,14.27,58,2411,0,121696
774,14.23,57,2411,0,121703
784,41.94,61,2509,96,121708
794,14.31,58,2411,0,121707
804,13.91,55,2411,0,121723
814,38.14,60,2515,96,121727
824,42.58,61,2515,96,121726
834,38.53,62,2515,96,121740
844,32.74,60,2489,0,121742
854,38.82,63,2496,96,121740
865,38.99,64,2496,96,121737
