elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.02,61,2411,0,119795
20,42.99,66,2489,96,119771
30,91.82,74,2444,96,119767
40,77.14,76,2457,96,119772
50,44.40,68,2496,96,119770
60,71.50,74,2496,96,119773
70,45.64,69,2489,96,119775
80,86.60,71,2457,96,119777
90,46.14,70,2489,96,119779
100,46.23,70,2483,96,119780
110,46.32,71,2483,96,119775
121,45.92,70,2489,96,119778
131,46.08,70,2489,96,119787
141,45.75,69,2489,96,119789
151,41.75,69,2489,96,119792
161,15.60,64,2405,0,119794
171,67.35,75,2457,96,119795
181,45.69,69,2489,96,119799
191,44.47,69,2496,96,119797
201,43.99,69,2496,96,119787
211,19.10,65,2405,0,119783
221,14.73,60,2411,0,119791
231,63.07,71,2424,96,119797
241,42.86,64,2489,96,119797
251,43.05,65,2489,96,119794
261,14.99,61,2411,0,119797
271,78.43,64,2463,96,119805
281,91.24,71,2450,96,119803
291,44.17,66,2496,96,119815
301,44.03,67,2496,96,119801
312,45.30,68,2489,96,119804
322,45.13,68,2489,96,119812
332,45.50,68,2489,96,119807
342,45.67,69,2489,96,119801
352,45.35,69,2489,96,119801
362,41.94,68,2496,96,119794
372,42.07,68,2496,96,119798
382,41.55,67,2496,96,119802
392,41.32,67,2496,96,119803
402,43.47,67,2489,96,119801
412,43.51,67,2489,96,119804
422,92.93,76,2457,96,119803
432,41.94,68,2496,96,119805
442,43.86,68,2489,96,119816
452,22.51,64,2405,0,119815
462,92.68,77,2450,96,119814
472,44.77,69,2496,96,119808
483,44.17,69,2496,96,119811
493,44.15,69,2496,96,119813
503,45.79,70,2489,96,119803
513,45.25,69,2496,96,119803
523,44.14,69,2489,96,119804
533,44.13,69,2489,96,119800
543,44.02,69,2489,96,119802
553,41.95,68,2496,96,119804
563,43.79,68,2489,96,119807
573,43.93,68,2489,96,119810
583,15.65,64,2405,0,119811
593,14.69,60,2411,0,119812
603,43.10,66,2489,96,119808
613,65.71,74,2489,96,119812
623,43.34,67,2489,96,119802
633,43.35,67,2489,96,119804
643,44.82,69,2496,96,119801
654,44.63,69,2496,96,119795
664,44.56,68,2496,96,119806
674,44.17,68,2496,96,119798
684,41.97,68,2496,96,119795
694,44.72,69,2496,96,119796
704,44.46,69,2496,96,119797
714,45.31,70,2489,96,119801
724,42.13,69,2496,96,119800
734,43.93,69,2489,96,119798
744,43.90,69,2489,96,119793
754,79.25,75,2457,96,119797
764,88.19,77,2450,96,119804
774,45.28,70,2489,96,119792
784,55.60,70,2489,96,119780
794,55.86,70,2489,96,119781
804,46.00,70,2489,96,119784
814,45.99,70,2489,96,119785
824,45.51,70,2496,96,119786
835,42.86,69,2496,96,119787
845,47.07,70,2496,96,119789
855,42.15,69,2496,96,119794
865,73.51,70,2457,96,119780
875,44.60,70,2496,96,119776
885,44.45,70,2496,96,119773
895,44.36,69,2496,96,119784
905,41.79,69,2496,96,119794
915,43.99,69,2489,96,119794
925,44.22,69,2489,96,119789
935,15.32,62,2405,0,119789
945,91.91,73,2457,96,119786
955,84.54,73,2457,96,119791
965,62.14,69,2476,96,119784
975,45.68,69,2489,96,119786
985,45.15,69,2489,96,119795
996,45.58,69,2489,96,119799
1006,45.85,70,2489,96,119793
1016,44.50,69,2496,96,119798
1026,42.02,69,2496,96,119800
1036,43.82,69,2489,96,119797
1046,43.76,68,2489,96,119804
1056,15.21,62,2411,0,119728
1066,43.06,66,2489,96,119790
1076,45.38,69,2489,96,119775
