[09:40:30] === bench-spark run ===
[09:40:30] Profile: mistral-small-nvfp4
[09:40:30] Tests:   A B C E F G H I J
[09:40:30] Results: /home/eugene/benchmarks/bench-spark/results/mistral-small-3.2-24b-it/nvfp4
[09:40:30] ── START A ──
[09:41:30]     ... A running: 60s, GPU 96%
[09:42:30]     ... A running: 120s, GPU 96%
[09:43:30]     ... A running: 180s, GPU 96%
[09:44:30]     ... A running: 240s, GPU 96%
[09:45:30]     ... A running: 300s, GPU 96%
[09:46:30]     ... A running: 360s, GPU 96%
[09:47:30]     ... A running: 420s, GPU 96%
[09:48:30]     ... A running: 480s, GPU 96%
[09:49:30]     ... A running: 540s, GPU 96%
[09:50:30]     ... A running: 600s, GPU 96%
[09:51:31]     ... A running: 661s, GPU 96%
[09:52:31]     ... A running: 721s, GPU 96%
[09:53:31]     ... A running: 781s, GPU 96%
[09:54:31]     ... A running: 841s, GPU 96%
[09:55:31]     ... A running: 901s, GPU 96%
[09:56:31]     ... A running: 961s, GPU 96%
[09:57:31]     ... A running: 1021s, GPU 96%
[09:58:31]     ... A running: 1081s, GPU 96%
[09:59:31]     ... A running: 1141s, GPU 96%
[10:00:31]     ... A running: 1201s, GPU 96%
[10:01:31]     ... A running: 1261s, GPU 96%
[10:02:31]     ... A running: 1321s, GPU 96%
[10:03:31]     ... A running: 1381s, GPU 96%
[10:04:31]     ... A running: 1441s, GPU 96%
[10:05:31]     ... A running: 1501s, GPU 96%
[10:06:31]     ... A running: 1561s, GPU 96%
[10:07:31]     ... A running: 1621s, GPU 96%
[10:08:31]     ... A running: 1681s, GPU 96%
[10:09:32]     ... A running: 1742s, GPU 96%
[10:10:32]     ... A running: 1802s, GPU 96%
[10:11:32]     ... A running: 1862s, GPU 96%
[10:12:32]     ... A running: 1922s, GPU 96%
[10:13:32]     ... A running: 1982s, GPU 96%
[10:14:32]     ... A running: 2042s, GPU 96%
[10:15:32]     ... A running: 2102s, GPU 96%
[10:16:32]     ... A running: 2162s, GPU 96%
[10:17:32]     ... A running: 2222s, GPU 96%
[10:18:32]     ... A running: 2282s, GPU 96%
[10:19:32]     ... A running: 2342s, GPU 96%
[10:20:32]     ... A running: 2402s, GPU 96%
[10:21:32]     ... A running: 2462s, GPU 96%
[10:22:32]     ... A running: 2522s, GPU 96%
[10:23:32]     ... A running: 2582s, GPU 96%
[10:24:32]     ... A running: 2642s, GPU 96%
[10:25:32]     ... A running: 2702s, GPU 96%
[10:26:33]     ... A running: 2763s, GPU 96%
[10:27:33]     ... A running: 2823s, GPU 96%
[10:28:33]     ... A running: 2883s, GPU 96%
[10:29:33]     ... A running: 2943s, GPU 96%
[10:30:33]     ... A running: 3003s, GPU 96%
[10:31:33]     ... A running: 3063s, GPU 96%
[10:32:33]     ... A running: 3123s, GPU 96%
[10:33:33]     ... A running: 3183s, GPU 96%
[10:34:33]     ... A running: 3243s, GPU 96%
[10:35:33]     ... A running: 3303s, GPU 96%
[10:36:33]     ... A running: 3363s, GPU 96%
[10:37:33]     ... A running: 3423s, GPU 96%
[10:38:33]     ... A running: 3483s, GPU 96%
[10:39:33]     ... A running: 3543s, GPU 96%
[10:40:33]     ... A running: 3603s, GPU 96%
[10:41:23] ── END A (3653s) ──
[10:41:23] ── START B ──
[10:42:23]     ... B running: 60s, GPU 96%
[10:43:23]     ... B running: 120s, GPU 96%
[10:44:24]     ... B running: 181s, GPU 96%
[10:45:24]     ... B running: 241s, GPU 96%
[10:46:24]     ... B running: 301s, GPU 96%
[10:47:24]     ... B running: 361s, GPU 96%
[10:48:24]     ... B running: 421s, GPU 96%
[10:49:24]     ... B running: 481s, GPU 96%
[10:50:24]     ... B running: 541s, GPU 96%
[10:51:24]     ... B running: 601s, GPU 96%
[10:52:24]     ... B running: 661s, GPU 96%
[10:53:24]     ... B running: 721s, GPU 96%
[10:54:24]     ... B running: 781s, GPU 96%
[10:55:24]     ... B running: 841s, GPU 96%
[10:56:24]     ... B running: 901s, GPU 96%
[10:57:24]     ... B running: 961s, GPU 96%
[10:58:24]     ... B running: 1021s, GPU 96%
[10:59:24]     ... B running: 1081s, GPU 96%
[11:00:24]     ... B running: 1141s, GPU 96%
[11:01:24]     ... B running: 1201s, GPU 96%
[11:02:24]     ... B running: 1261s, GPU 96%
[11:03:24]     ... B running: 1321s, GPU 96%
[11:04:24]     ... B running: 1381s, GPU 96%
[11:05:25]     ... B running: 1442s, GPU 96%
[11:06:25]     ... B running: 1502s, GPU 96%
[11:07:25]     ... B running: 1562s, GPU 96%
[11:08:25]     ... B running: 1622s, GPU 96%
[11:09:25]     ... B running: 1682s, GPU 96%
[11:10:25]     ... B running: 1742s, GPU 96%
[11:11:25]     ... B running: 1802s, GPU 96%
[11:12:25]     ... B running: 1862s, GPU 96%
[11:13:25]     ... B running: 1922s, GPU 96%
[11:14:25]     ... B running: 1982s, GPU 96%
[11:15:25]     ... B running: 2042s, GPU 96%
[11:16:25]     ... B running: 2102s, GPU 96%
