elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,42.97,70,2483,96,124085
20,92.16,78,2294,96,124181
30,93.15,80,2320,96,124194
40,94.84,81,2320,96,124204
50,89.06,81,2262,96,124185
60,88.80,82,2262,96,124181
70,89.59,81,2268,96,124188
80,92.90,83,2275,96,124195
90,88.68,82,2262,96,124206
100,88.78,81,2255,96,124200
110,88.68,83,2249,96,124212
120,91.25,83,2301,96,124198
130,92.03,83,2294,96,124201
140,88.70,83,2242,96,124200
150,88.83,82,2242,96,124191
160,88.60,82,2327,96,124183
170,92.66,82,2288,96,124192
180,89.44,83,2255,96,124187
190,88.14,83,2262,96,124202
201,88.61,83,2255,96,124198
211,90.43,84,2281,96,124201
221,90.89,82,2301,96,124205
231,88.47,83,2288,96,124213
241,88.27,83,2262,96,124214
251,91.30,84,2281,96,124226
261,90.85,83,2268,96,124232
271,88.09,84,2275,96,124233
281,88.47,83,2236,96,124237
291,91.68,81,2327,96,124232
301,89.19,84,2249,96,124243
311,88.35,81,2275,96,124229
321,88.95,82,2268,96,124237
331,91.87,84,2314,96,124246
341,79.86,80,2450,96,124248
351,79.08,82,2450,96,124249
361,77.19,77,2457,96,124235
371,76.27,78,2463,96,124270
382,62.99,76,2463,96,124253
392,55.38,80,2405,96,124149
402,95.39,82,2307,96,124121
412,89.59,82,2255,96,124127
422,87.56,82,2242,96,124120
432,88.25,83,2333,96,124129
442,92.50,83,2288,96,124136
452,87.93,83,2229,96,124145
462,87.51,82,2262,96,124161
472,87.18,83,2320,96,124182
482,92.49,84,2275,96,124199
492,89.89,84,2307,96,124203
502,87.16,83,2236,96,124118
512,87.68,83,2255,96,124138
522,88.95,84,2249,96,124146
532,92.48,84,2275,96,124164
542,87.69,83,2223,96,124178
552,87.07,84,2236,96,124162
562,87.37,84,2236,96,124174
572,91.27,84,2301,96,124186
583,89.60,84,2249,96,124189
593,87.17,83,2249,96,124186
603,87.13,83,2242,96,124190
613,90.50,82,2327,96,124189
623,90.32,84,2281,96,124190
633,84.93,84,2262,96,124113
643,87.29,83,2249,96,124162
653,91.58,84,2314,96,124161
663,88.90,84,2242,96,124172
673,86.82,83,2249,96,124187
683,87.30,83,2268,96,124169
693,91.97,83,2281,96,124185
703,86.60,83,2242,96,124175
713,92.43,84,2320,96,124171
723,79.75,83,2450,96,124169
733,79.15,82,2450,96,124176
743,79.75,81,2457,96,124172
753,81.16,81,2450,96,124172
763,58.11,76,2463,96,124168
774,91.33,81,2275,96,124187
784,89.93,82,2255,96,124187
794,89.85,82,2255,96,124180
804,92.61,84,2301,96,124180
814,91.19,83,2281,96,124178
824,87.99,83,2262,96,124181
834,87.92,82,2236,96,124182
844,90.61,83,2288,96,124182
854,92.12,84,2288,96,124188
864,87.71,83,2242,96,124184
874,87.61,84,2262,96,124182
884,87.57,83,2236,96,124184
894,92.37,84,2281,96,124185
904,90.17,84,2281,96,124189
914,87.88,84,2249,96,124185
924,88.10,82,2242,96,124180
934,89.34,84,2366,96,124183
944,92.51,84,2268,96,124189
954,87.92,84,2229,96,124194
964,87.69,83,2242,96,124193
975,87.69,84,2242,96,124192
985,92.11,84,2320,96,124188
995,87.76,84,2242,96,124182
1005,87.74,84,2262,96,124180
1015,87.67,83,2229,96,124183
1025,92.23,84,2281,96,124187
1035,87.21,84,2223,96,124191
1045,87.44,84,2262,96,124185
1055,89.16,84,2372,96,124189
1065,91.47,83,2314,96,124188
1075,87.80,84,2275,96,124191
1085,87.54,84,2223,96,124192
1095,92.26,84,2320,96,124196
1105,79.44,80,2457,96,124194
1115,80.22,81,2450,96,124199
1125,76.95,80,2450,96,124199
1135,78.81,80,2463,96,124204
1145,56.20,76,2463,96,124130
1156,93.02,82,2320,96,124160
1166,92.77,82,2275,96,124169
1176,90.58,82,2268,96,124188
1186,88.64,83,2255,96,124197
1196,90.93,83,2385,96,124206
1206,92.65,83,2281,96,124217
1216,88.36,83,2242,96,124207
1226,88.56,80,2255,96,124223
1236,88.79,83,2255,96,124226
1246,92.80,84,2288,96,124228
1256,89.41,84,2236,96,124229
1266,88.30,84,2229,96,124229
1276,88.26,84,2255,96,124236
1286,90.57,84,2294,96,124239
1296,91.54,83,2268,96,124240
1306,88.59,84,2249,96,124250
1316,88.32,84,2242,96,124266
1326,89.60,84,2333,96,124255
1336,92.13,84,2288,96,124240
1346,88.32,82,2262,96,124242
1356,88.24,81,2262,96,124240
1367,88.32,84,2262,96,124241
1377,92.13,83,2294,96,124241
1387,88.60,84,2255,96,124243
1397,88.28,83,2268,96,124246
1407,88.11,83,2249,96,124235
1417,91.81,84,2294,96,124121
1427,87.90,83,2255,96,124119
1437,88.38,84,2281,96,124122
1447,90.39,83,2385,96,124131
1457,90.75,84,2281,96,124148
1467,88.07,84,2242,96,124166
1477,91.07,85,2392,96,124172
1487,79.90,81,2457,96,124175
1497,78.71,80,2463,96,124184
1507,77.07,78,2463,96,124199
1517,71.89,76,2470,96,124207
1527,45.75,71,2470,96,124208
