[14:16:30] === bench-spark run ===
[14:16:30] Profile: muse-glimmer-30b-bf16-spec
[14:16:30] Tests:   01 02 03 04 05 06 07 08 09 10 11
[14:16:30] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16-spec
[14:16:38] Sanity-check op modeloutput...
[14:17:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to 5
[14:17:00] ── START 01 ──
[14:18:00]     ... 01 running: 60s, GPU 96%, 40.70W, 61C, 2502MHz
[14:19:01]     ... 01 running: 121s, GPU 96%, 41.53W, 64C, 2483MHz
[14:20:01]     ... 01 running: 181s, GPU 96%, 40.97W, 66C, 2489MHz
[14:21:01]     ... 01 running: 241s, GPU 96%, 42.20W, 67C, 2483MHz
[14:22:02]     ... 01 running: 302s, GPU 96%, 52.57W, 70C, 2483MHz
[14:23:02]     ... 01 running: 362s, GPU 96%, 42.42W, 67C, 2483MHz
[14:24:03]     ... 01 running: 423s, GPU 96%, 51.68W, 69C, 2489MHz
[14:25:03]     ... 01 running: 483s, GPU 96%, 52.50W, 69C, 2483MHz
[14:26:04]     ... 01 running: 544s, GPU 96%, 52.65W, 69C, 2489MHz
[14:27:04]     ... 01 running: 604s, GPU 96%, 52.73W, 70C, 2483MHz
[14:28:04]     ... 01 running: 664s, GPU 96%, 53.14W, 70C, 2483MHz
[14:29:05]     ... 01 running: 725s, GPU 96%, 57.20W, 74C, 2463MHz
[14:30:05]     ... 01 running: 785s, GPU 96%, 52.99W, 71C, 2470MHz
[14:31:06]     ... 01 running: 846s, GPU 96%, 62.06W, 75C, 2470MHz
[14:32:06]     ... 01 running: 906s, GPU 96%, 52.84W, 72C, 2463MHz
[14:33:06]     ... 01 running: 966s, GPU 96%, 57.34W, 74C, 2463MHz
[14:34:07]     ... 01 running: 1027s, GPU 96%, 53.27W, 72C, 2470MHz
[14:35:07]     ... 01 running: 1087s, GPU 96%, 61.87W, 72C, 2470MHz
[14:36:08]     ... 01 running: 1148s, GPU 96%, 51.29W, 68C, 2489MHz
[14:36:31] ── END 01 (1171s) ──
[14:36:31] ── START 02 ──
[14:37:31]     ... 02 running: 60s, GPU 96%, 54.37W, 72C, 2463MHz
[14:38:31]     ... 02 running: 120s, GPU 96%, 90.60W, 80C, 2411MHz
[14:39:32]     ... 02 running: 181s, GPU 96%, 53.10W, 69C, 2489MHz
[14:40:32]     ... 02 running: 241s, GPU 96%, 54.25W, 70C, 2483MHz
[14:41:33]     ... 02 running: 302s, GPU 96%, 96.27W, 78C, 2359MHz
[14:42:33]     ... 02 running: 362s, GPU 96%, 52.31W, 68C, 2489MHz
[14:43:33]     ... 02 running: 422s, GPU 96%, 91.98W, 81C, 2320MHz
[14:44:34]     ... 02 running: 483s, GPU 96%, 64.01W, 73C, 2470MHz
[14:45:34]     ... 02 running: 543s, GPU 96%, 91.25W, 79C, 2301MHz
[14:46:34]     ... 02 running: 603s, GPU 96%, 68.55W, 74C, 2470MHz
[14:47:35]     ... 02 running: 664s, GPU 96%, 91.33W, 79C, 2275MHz
[14:48:35]     ... 02 running: 724s, GPU 96%, 68.64W, 75C, 2470MHz
[14:49:35]     ... 02 running: 784s, GPU 96%, 94.72W, 78C, 2359MHz
[14:50:36]     ... 02 running: 845s, GPU 96%, 68.99W, 74C, 2470MHz
[14:51:36]     ... 02 running: 905s, GPU 96%, 91.52W, 78C, 2288MHz
[14:52:36]     ... 02 running: 965s, GPU 96%, 88.72W, 80C, 2268MHz
[14:53:37]     ... 02 running: 1026s, GPU 96%, 84.73W, 80C, 2463MHz
[14:54:37]     ... 02 running: 1086s, GPU 96%, 54.21W, 73C, 2470MHz
[14:55:37]     ... 02 running: 1146s, GPU 96%, 88.90W, 81C, 2327MHz
[14:56:38]     ... 02 running: 1207s, GPU 96%, 85.14W, 80C, 2457MHz
[14:57:38]     ... 02 running: 1267s, GPU 96%, 80.51W, 79C, 2463MHz
[14:58:38]     ... 02 running: 1327s, GPU 96%, 91.59W, 81C, 2255MHz
[14:59:39]     ... 02 running: 1388s, GPU 96%, 91.92W, 82C, 2301MHz
[15:00:39]     ... 02 running: 1448s, GPU 96%, 85.23W, 80C, 2463MHz
[15:01:39]     ... 02 running: 1508s, GPU 96%, 41.46W, 71C, 2483MHz
[15:02:40]     ... 02 running: 1569s, GPU 96%, 88.52W, 82C, 2255MHz
[15:03:40]     ... 02 running: 1629s, GPU 96%, 85.45W, 81C, 2450MHz
[15:04:40]     ... 02 running: 1689s, GPU 96%, 79.58W, 79C, 2463MHz
[15:05:03] ── END 02 (1712s) ──
[15:05:03] ── START 03 ──
[15:06:03]     ... 03 running: 60s, GPU 96%, 41.61W, 65C, 2483MHz
[15:07:04]     ... 03 running: 121s, GPU 96%, 42.67W, 68C, 2483MHz
[15:08:04]     ... 03 running: 181s, GPU 96%, 43.21W, 70C, 2483MHz
[15:09:05]     ... 03 running: 242s, GPU 96%, 43.57W, 71C, 2483MHz
[15:10:05]     ... 03 running: 302s, GPU 96%, 43.72W, 71C, 2483MHz
[15:11:06]     ... 03 running: 363s, GPU 96%, 43.33W, 72C, 2463MHz
[15:12:06]     ... 03 running: 423s, GPU 96%, 43.59W, 72C, 2463MHz
[15:13:06]     ... 03 running: 483s, GPU 96%, 43.69W, 72C, 2463MHz
[15:14:07]     ... 03 running: 544s, GPU 96%, 43.52W, 72C, 2463MHz
[15:15:07]     ... 03 running: 604s, GPU 96%, 43.74W, 72C, 2463MHz
[15:16:08]     ... 03 running: 665s, GPU 96%, 43.96W, 73C, 2463MHz
[15:17:08]     ... 03 running: 725s, GPU 96%, 43.98W, 73C, 2463MHz
[15:18:08]     ... 03 running: 785s, GPU 96%, 44.08W, 73C, 2463MHz
[15:19:09]     ... 03 running: 846s, GPU 96%, 43.72W, 73C, 2463MHz
[15:20:09]     ... 03 running: 906s, GPU 96%, 43.88W, 73C, 2463MHz
[15:21:10]     ... 03 running: 967s, GPU 96%, 43.93W, 73C, 2463MHz
[15:22:10]     ... 03 running: 1027s, GPU 96%, 43.79W, 74C, 2463MHz
[15:23:11]     ... 03 running: 1088s, GPU 96%, 53.30W, 75C, 2463MHz
[15:24:11]     ... 03 running: 1148s, GPU 96%, 53.20W, 73C, 2463MHz
[15:25:11]     ... 03 running: 1208s, GPU 96%, 53.61W, 72C, 2463MHz
[15:26:12]     ... 03 running: 1269s, GPU 96%, 53.77W, 72C, 2463MHz
[15:27:12]     ... 03 running: 1329s, GPU 96%, 52.74W, 72C, 2489MHz
[15:28:03]     ... 03 running: 1380s, GPU 96%, 52.35W, 71C, 2496MHz
[15:29:03]     ... 03 running: 1440s, GPU 96%, 52.29W, 71C, 2483MHz
[15:30:03]     ... 03 running: 1500s, GPU 96%, 52.89W, 71C, 2483MHz
[15:31:04]     ... 03 running: 1561s, GPU 96%, 51.93W, 71C, 2489MHz
[15:32:04]     ... 03 running: 1621s, GPU 96%, 52.10W, 71C, 2489MHz
[15:33:05]     ... 03 running: 1682s, GPU 96%, 52.38W, 70C, 2489MHz
[15:34:05]     ... 03 running: 1742s, GPU 96%, 50.08W, 70C, 2496MHz
[15:35:06]     ... 03 running: 1803s, GPU 96%, 52.53W, 70C, 2483MHz
[15:36:06]     ... 03 running: 1863s, GPU 96%, 53.08W, 71C, 2483MHz
[15:37:06]     ... 03 running: 1923s, GPU 96%, 53.30W, 71C, 2489MHz
[15:38:07]     ... 03 running: 1984s, GPU 96%, 42.53W, 67C, 2483MHz
[15:39:07]     ... 03 running: 2044s, GPU 96%, 51.64W, 69C, 2483MHz
[15:40:08]     ... 03 running: 2105s, GPU 96%, 52.49W, 70C, 2483MHz
[15:41:08]     ... 03 running: 2165s, GPU 96%, 51.89W, 70C, 2489MHz
[15:42:09]     ... 03 running: 2226s, GPU 96%, 52.11W, 70C, 2489MHz
[15:43:09]     ... 03 running: 2286s, GPU 96%, 53.20W, 70C, 2489MHz
[15:44:09]     ... 03 running: 2346s, GPU 96%, 42.74W, 68C, 2483MHz
[15:45:10]     ... 03 running: 2407s, GPU 96%, 66.05W, 74C, 2470MHz
[15:46:10]     ... 03 running: 2467s, GPU 96%, 67.84W, 76C, 2470MHz
[15:47:10]     ... 03 running: 2527s, GPU 96%, 68.96W, 77C, 2470MHz
[15:48:11]     ... 03 running: 2588s, GPU 96%, 64.13W, 77C, 2470MHz
[15:49:11]     ... 03 running: 2648s, GPU 96%, 63.76W, 76C, 2470MHz
[15:50:12]     ... 03 running: 2709s, GPU 96%, 58.50W, 75C, 2463MHz
[15:51:12]     ... 03 running: 2769s, GPU 96%, 50.59W, 72C, 2496MHz
[15:52:12]     ... 03 running: 2829s, GPU 96%, 66.75W, 76C, 2470MHz
[15:53:03]     ... 03 running: 2880s, GPU 96%, 68.07W, 75C, 2470MHz
[15:54:03]     ... 03 running: 2940s, GPU 96%, 69.30W, 78C, 2470MHz
[15:55:04]     ... 03 running: 3001s, GPU 96%, 69.38W, 78C, 2463MHz
[15:56:04]     ... 03 running: 3061s, GPU 96%, 58.98W, 76C, 2463MHz
[15:57:04]     ... 03 running: 3121s, GPU 96%, 58.92W, 75C, 2463MHz
[15:58:05]     ... 03 running: 3182s, GPU 96%, 43.37W, 70C, 2483MHz
[15:59:05]     ... 03 running: 3242s, GPU 96%, 61.87W, 75C, 2470MHz
[16:00:06]     ... 03 running: 3303s, GPU 96%, 62.66W, 76C, 2470MHz
[16:01:06]     ... 03 running: 3363s, GPU 96%, 63.60W, 76C, 2470MHz
[16:02:06]     ... 03 running: 3423s, GPU 96%, 58.33W, 75C, 2463MHz
[16:03:07]     ... 03 running: 3484s, GPU 96%, 54.28W, 73C, 2463MHz
[16:04:07]     ... 03 running: 3544s, GPU 96%, 43.40W, 70C, 2483MHz
[16:05:08]     ... 03 running: 3605s, GPU 96%, 67.57W, 77C, 2470MHz
[16:06:08]     ... 03 running: 3665s, GPU 96%, 63.15W, 76C, 2470MHz
[16:07:08]     ... 03 running: 3725s, GPU 96%, 63.84W, 76C, 2470MHz
[16:08:09]     ... 03 running: 3786s, GPU 96%, 56.14W, 74C, 2463MHz
[16:09:09]     ... 03 running: 3846s, GPU 96%, 54.17W, 73C, 2463MHz
[16:10:10]     ... 03 running: 3907s, GPU 96%, 53.59W, 72C, 2470MHz
[16:10:25] ── END 03 (3922s) ──
[16:10:25] ── START 04 ──
