elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.40,58,2411,0,122937
20,13.97,56,2411,0,122484
30,96.76,73,2359,96,122425
40,94.94,76,2346,96,122401
50,95.66,76,2353,96,122397
60,95.63,79,2327,96,122405
70,89.91,79,2294,96,122410
80,92.27,77,2353,96,122410
90,92.95,78,2314,96,122414
100,55.07,74,2470,96,122418
110,95.74,79,2340,96,122425
120,90.90,80,2294,96,122428
130,92.78,80,2340,96,122421
140,92.81,79,2353,96,122426
151,62.36,79,2411,96,122434
161,93.70,78,2418,96,122432
171,90.31,79,2320,96,122432
181,89.17,80,2320,96,122435
191,69.69,76,2457,96,122444
201,48.34,74,2470,96,122442
211,47.42,71,2470,96,122441
221,90.86,76,2333,96,122444
231,94.45,79,2366,96,122462
241,90.47,79,2327,96,122452
251,88.73,77,2320,96,122457
261,90.13,81,2366,96,122464
271,88.32,77,2320,96,122296
281,92.32,81,2379,96,122309
291,90.03,81,2320,96,122315
301,88.00,80,2353,96,122307
311,88.57,80,2379,96,122310
321,89.63,78,2353,96,122310
331,90.97,82,2398,96,122313
341,91.30,82,2353,96,122314
351,87.87,77,2333,96,122315
362,93.25,82,2379,96,122309
372,87.72,79,2372,96,122309
382,91.35,80,2346,96,122304
392,88.47,81,2346,96,122301
402,88.81,81,2366,96,122300
412,93.22,80,2405,96,122305
422,91.90,80,2431,96,122306
432,54.97,73,2470,96,122305
442,89.05,78,2437,96,122315
452,92.05,81,2424,96,122316
462,91.76,76,2405,96,122321
472,47.97,72,2470,96,122321
482,87.54,75,2424,96,122341
492,89.14,75,2372,96,122366
502,92.03,81,2385,96,122378
512,87.06,77,2385,96,122382
522,89.08,80,2359,96,122383
532,91.08,81,2353,96,122392
543,75.82,81,2450,96,122388
553,88.51,80,2372,96,122410
563,90.60,78,2379,96,122803
573,88.28,79,2372,96,122809
583,91.11,81,2411,96,122802
593,88.65,81,2379,96,122806
603,90.81,82,2398,96,122709
613,87.95,81,2359,96,122712
623,87.56,81,2437,96,122216
633,89.03,83,2353,96,122226
643,91.09,81,2405,96,122247
653,87.44,81,2405,96,122252
663,90.66,77,2398,96,122253
673,88.99,81,2392,96,122247
683,88.51,82,2372,96,122255
693,88.09,80,2431,96,122272
703,87.28,80,2359,96,122685
713,92.32,81,2385,96,122692
723,84.99,82,2444,96,122729
734,49.84,72,2470,96,122727
744,49.49,71,2476,96,122752
754,49.46,69,2496,96,122754
764,49.28,69,2489,96,122746
774,48.91,68,2489,96,122738
784,48.89,67,2496,96,122742
794,48.30,67,2489,96,122747
804,48.59,66,2496,96,122751
814,48.32,65,2496,96,122754
824,46.90,65,2489,96,122749
834,46.97,65,2489,96,122755
844,46.89,65,2489,96,122748
855,46.88,64,2489,96,122749
865,46.95,64,2489,96,122749
875,46.92,64,2489,96,122743
885,46.90,65,2489,96,122746
895,48.03,66,2496,96,122744
905,48.47,68,2496,96,122747
915,48.37,68,2496,96,122756
925,48.69,69,2496,96,122759
935,48.71,69,2496,96,122751
945,49.20,69,2496,96,122761
955,49.10,70,2496,96,122770
965,49.37,70,2489,96,122759
975,49.56,70,2489,96,122763
985,48.83,71,2489,96,122768
996,48.37,71,2470,96,122763
1006,48.59,72,2489,96,122761
1016,48.46,71,2496,96,122766
1026,48.30,73,2489,96,122754
1036,48.36,71,2496,96,122756
1046,47.62,72,2489,96,122759
1056,47.61,71,2489,96,122759
1066,47.75,71,2489,96,122760
1076,47.84,72,2470,96,122760
1086,47.97,73,2470,96,122760
1096,48.02,72,2470,96,122764
1106,48.18,72,2470,96,122761
1116,48.10,72,2470,96,122759
1127,48.03,73,2470,96,122762
1137,47.10,72,2470,96,122766
1147,47.29,72,2470,96,122764
1157,47.43,72,2470,96,122765
1167,47.71,72,2470,96,122762
1177,47.73,73,2470,96,122768
1187,47.89,72,2470,96,122769
1197,48.16,73,2470,96,122763
1207,48.06,73,2470,96,122757
1217,48.01,73,2470,96,122753
1227,47.98,73,2470,96,122760
1237,47.98,73,2470,96,122764
1247,47.92,73,2470,96,122764
1258,48.19,73,2470,96,122781
1268,48.01,73,2470,96,122787
1278,48.10,73,2470,96,122783
1288,48.12,73,2470,96,122787
1298,48.13,73,2470,96,122803
1308,48.12,73,2470,96,122799
1318,49.16,74,2470,96,122798
1328,49.41,74,2470,96,122247
1338,49.73,74,2470,96,122256
1348,50.44,74,2470,96,122269
1358,52.78,74,2470,96,122271
1368,54.62,74,2470,96,122273
1378,54.13,73,2470,96,122289
1388,55.01,73,2470,96,122239
1399,46.81,71,2483,96,122245
1409,42.62,70,2483,96,122242
1419,16.04,65,2405,0,121642
