
════════ nieuwe sessie 2026-08-12T03:04:56+02:00 ════════
[03:04:56] === bench-spark run ===
[03:04:56] Profile: muse-glimmer-30b-bf16
[03:04:56] Tests:   01 02 03 04 05 06 07 08 09 10 11
[03:04:56] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16
[03:05:02] Sanity-check op modeloutput...
[03:06:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to
[03:06:00] ── START 01 ──
[03:07:00]     ... 01 running: 60s, GPU 96%, 41.78W, 60C, 2515MHz
[03:08:00]     ... 01 running: 120s, GPU 96%, 42.21W, 62C, 2515MHz
[03:09:01]     ... 01 running: 181s, GPU 96%, 42.56W, 64C, 2496MHz
[03:10:01]     ... 01 running: 241s, GPU 96%, 42.86W, 65C, 2496MHz
[03:11:02]     ... 01 running: 302s, GPU 96%, 42.92W, 66C, 2496MHz
[03:12:02]     ... 01 running: 362s, GPU 96%, 43.22W, 66C, 2496MHz
[03:13:02]     ... 01 running: 422s, GPU 96%, 43.41W, 67C, 2496MHz
[03:14:03]     ... 01 running: 483s, GPU 96%, 43.62W, 67C, 2496MHz
[03:15:03]     ... 01 running: 543s, GPU 96%, 43.57W, 68C, 2496MHz
[03:16:03]     ... 01 running: 603s, GPU 96%, 43.71W, 68C, 2496MHz
[03:17:04]     ... 01 running: 664s, GPU 96%, 43.81W, 68C, 2496MHz
[03:18:04]     ... 01 running: 724s, GPU 96%, 43.95W, 68C, 2496MHz
[03:19:05]     ... 01 running: 785s, GPU 96%, 43.87W, 69C, 2496MHz
[03:20:05]     ... 01 running: 845s, GPU 96%, 43.98W, 69C, 2496MHz
[03:21:05]     ... 01 running: 905s, GPU 96%, 44.04W, 69C, 2496MHz
[03:22:06]     ... 01 running: 966s, GPU 96%, 44.10W, 70C, 2496MHz
[03:23:06]     ... 01 running: 1026s, GPU 96%, 40.01W, 65C, 2483MHz
[03:24:06]     ... 01 running: 1086s, GPU 96%, 39.69W, 63C, 2483MHz
[03:25:07]     ... 01 running: 1147s, GPU 96%, 39.71W, 62C, 2483MHz
[03:26:07]     ... 01 running: 1207s, GPU 96%, 39.76W, 62C, 2502MHz
[03:27:08]     ... 01 running: 1268s, GPU 96%, 38.96W, 61C, 2502MHz
[03:28:08]     ... 01 running: 1328s, GPU 96%, 39.00W, 61C, 2502MHz
[03:29:08]     ... 01 running: 1388s, GPU 96%, 39.19W, 60C, 2502MHz
[03:30:09]     ... 01 running: 1449s, GPU 96%, 39.42W, 60C, 2502MHz
[03:31:09]     ... 01 running: 1509s, GPU 96%, 38.74W, 60C, 2502MHz
[03:33:00]     ... 01 running: 1620s, GPU 96%, 39.03W, 60C, 2502MHz
[03:34:00]     ... 01 running: 1680s, GPU 96%, 39.28W, 60C, 2502MHz
[03:35:01]     ... 01 running: 1741s, GPU 96%, 38.65W, 60C, 2502MHz
[03:36:01]     ... 01 running: 1801s, GPU 96%, 38.79W, 60C, 2502MHz
[03:37:01]     ... 01 running: 1861s, GPU 96%, 38.96W, 59C, 2502MHz
[03:38:02]     ... 01 running: 1922s, GPU 96%, 39.21W, 59C, 2502MHz
[03:39:02]     ... 01 running: 1982s, GPU 96%, 42.51W, 61C, 2502MHz
[03:40:03]     ... 01 running: 2043s, GPU 96%, 42.93W, 61C, 2502MHz
[03:41:03]     ... 01 running: 2103s, GPU 96%, 43.27W, 61C, 2502MHz
[03:42:03]     ... 01 running: 2163s, GPU 96%, 43.73W, 61C, 2502MHz
[03:43:04]     ... 01 running: 2224s, GPU 96%, 42.59W, 62C, 2483MHz
[03:44:04]     ... 01 running: 2284s, GPU 96%, 42.82W, 62C, 2502MHz
[03:45:05]     ... 01 running: 2345s, GPU 96%, 43.23W, 62C, 2502MHz
[03:46:05]     ... 01 running: 2405s, GPU 96%, 43.63W, 62C, 2502MHz
[03:47:05]     ... 01 running: 2465s, GPU 96%, 42.89W, 64C, 2483MHz
[03:48:06]     ... 01 running: 2526s, GPU 96%, 42.80W, 62C, 2502MHz
[03:49:06]     ... 01 running: 2586s, GPU 96%, 43.22W, 62C, 2502MHz
[03:50:07]     ... 01 running: 2647s, GPU 96%, 43.63W, 62C, 2502MHz
[03:51:07]     ... 01 running: 2707s, GPU 96%, 43.99W, 62C, 2502MHz
[03:52:07]     ... 01 running: 2767s, GPU 96%, 42.70W, 62C, 2502MHz
[03:53:08]     ... 01 running: 2828s, GPU 96%, 43.11W, 62C, 2502MHz
[03:54:08]     ... 01 running: 2888s, GPU 96%, 43.53W, 61C, 2502MHz
[03:55:09]     ... 01 running: 2949s, GPU 96%, 43.90W, 62C, 2502MHz
[03:55:24] ── END 01 (2964s) ──
[03:55:25] ── START 02 ──
[03:56:25]     ... 02 running: 61s, GPU 96%, 40.74W, 66C, 2483MHz
[03:57:25]     ... 02 running: 121s, GPU 96%, 39.85W, 62C, 2502MHz
[03:58:26]     ... 02 running: 182s, GPU 96%, 92.73W, 72C, 2346MHz
[03:59:26]     ... 02 running: 242s, GPU 96%, 39.97W, 63C, 2483MHz
[04:00:26]     ... 02 running: 302s, GPU 96%, 39.69W, 61C, 2502MHz
[04:01:27]     ... 02 running: 363s, GPU 96%, 40.58W, 65C, 2483MHz
[04:02:27]     ... 02 running: 423s, GPU 96%, 39.92W, 62C, 2502MHz
[04:03:27]     ... 02 running: 483s, GPU 96%, 94.34W, 74C, 2353MHz
[04:04:28]     ... 02 running: 544s, GPU 96%, 40.07W, 63C, 2483MHz
[04:05:28]     ... 02 running: 604s, GPU 96%, 39.78W, 61C, 2502MHz
[04:06:29]     ... 02 running: 665s, GPU 96%, 90.57W, 79C, 2405MHz
[04:07:29]     ... 02 running: 725s, GPU 96%, 45.10W, 65C, 2483MHz
[04:08:29]     ... 02 running: 785s, GPU 96%, 44.60W, 64C, 2483MHz
[04:09:30]     ... 02 running: 846s, GPU 96%, 46.72W, 71C, 2483MHz
[04:10:30]     ... 02 running: 906s, GPU 96%, 45.00W, 64C, 2483MHz
[04:11:30]     ... 02 running: 966s, GPU 96%, 45.49W, 67C, 2483MHz
[04:12:31]     ... 02 running: 1027s, GPU 96%, 46.60W, 70C, 2483MHz
[04:13:31]     ... 02 running: 1087s, GPU 96%, 44.77W, 65C, 2483MHz
[04:14:32]     ... 02 running: 1148s, GPU 96%, 40.23W, 66C, 2483MHz
[04:15:32]     ... 02 running: 1208s, GPU 96%, 46.15W, 69C, 2483MHz
[04:16:32]     ... 02 running: 1268s, GPU 96%, 45.13W, 65C, 2483MHz
[04:17:33]     ... 02 running: 1329s, GPU 96%, 94.72W, 77C, 2353MHz
[04:18:33]     ... 02 running: 1389s, GPU 96%, 92.46W, 78C, 2307MHz
[04:19:33]     ... 02 running: 1449s, GPU 96%, 53.65W, 69C, 2496MHz
[04:20:24]     ... 02 running: 1500s, GPU 96%, 52.74W, 65C, 2496MHz
[04:21:24]     ... 02 running: 1560s, GPU 96%, 52.03W, 64C, 2496MHz
[04:22:24]     ... 02 running: 1620s, GPU 96%, 87.81W, 79C, 2281MHz
[04:23:24]     ... 02 running: 1680s, GPU 96%, 54.31W, 72C, 2496MHz
[04:24:25]     ... 02 running: 1741s, GPU 96%, 52.52W, 65C, 2496MHz
[04:25:25]     ... 02 running: 1801s, GPU 96%, 52.26W, 64C, 2496MHz
[04:26:26]     ... 02 running: 1862s, GPU 96%, 94.34W, 78C, 2327MHz
[04:27:26]     ... 02 running: 1922s, GPU 96%, 54.17W, 73C, 2470MHz
[04:28:26]     ... 02 running: 1982s, GPU 96%, 52.67W, 66C, 2496MHz
[04:29:27]     ... 02 running: 2043s, GPU 96%, 51.96W, 64C, 2496MHz
[04:30:27]     ... 02 running: 2103s, GPU 96%, 94.14W, 76C, 2340MHz
[04:31:27]     ... 02 running: 2163s, GPU 96%, 93.32W, 80C, 2327MHz
[04:32:28]     ... 02 running: 2224s, GPU 96%, 52.67W, 66C, 2496MHz
[04:33:28]     ... 02 running: 2284s, GPU 96%, 52.26W, 64C, 2496MHz
[04:33:56] ── END 02 (2312s) ──
[04:33:56] ── START 03 ──
[04:34:56]     ... 03 running: 60s, GPU 96%, 42.90W, 66C, 2496MHz
[04:35:57]     ... 03 running: 121s, GPU 96%, 43.29W, 67C, 2496MHz
[04:36:57]     ... 03 running: 181s, GPU 96%, 43.50W, 68C, 2496MHz
[04:37:58]     ... 03 running: 242s, GPU 96%, 43.69W, 68C, 2496MHz
[04:38:58]     ... 03 running: 302s, GPU 96%, 43.87W, 68C, 2496MHz
[04:39:58]     ... 03 running: 362s, GPU 96%, 44.00W, 69C, 2496MHz
[04:40:59]     ... 03 running: 423s, GPU 96%, 44.01W, 69C, 2496MHz
[04:41:59]     ... 03 running: 483s, GPU 96%, 44.12W, 69C, 2496MHz
[04:42:59]     ... 03 running: 543s, GPU 96%, 44.07W, 69C, 2496MHz
[04:44:00]     ... 03 running: 604s, GPU 96%, 44.24W, 70C, 2496MHz
[04:45:00]     ... 03 running: 664s, GPU 96%, 44.13W, 70C, 2496MHz
[04:46:01]     ... 03 running: 725s, GPU 96%, 44.04W, 70C, 2496MHz
[04:47:01]     ... 03 running: 785s, GPU 96%, 44.04W, 70C, 2496MHz
[04:48:01]     ... 03 running: 845s, GPU 96%, 44.00W, 70C, 2496MHz
[04:49:02]     ... 03 running: 906s, GPU 96%, 44.01W, 70C, 2496MHz
[04:50:02]     ... 03 running: 966s, GPU 96%, 44.17W, 70C, 2496MHz
[04:51:03]     ... 03 running: 1027s, GPU 96%, 44.10W, 70C, 2496MHz
[04:52:03]     ... 03 running: 1087s, GPU 96%, 44.28W, 70C, 2496MHz
[04:53:03]     ... 03 running: 1147s, GPU 96%, 44.33W, 70C, 2496MHz
[04:54:04]     ... 03 running: 1208s, GPU 96%, 44.35W, 70C, 2496MHz
[04:55:04]     ... 03 running: 1268s, GPU 96%, 44.36W, 70C, 2496MHz
[04:56:04]     ... 03 running: 1328s, GPU 96%, 44.39W, 70C, 2496MHz
[04:57:05]     ... 03 running: 1389s, GPU 96%, 44.40W, 70C, 2496MHz
[04:58:05]     ... 03 running: 1449s, GPU 96%, 44.42W, 70C, 2496MHz
[04:59:56]     ... 03 running: 1560s, GPU 96%, 44.30W, 70C, 2496MHz
