elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.81,60,2411,0,121746
20,41.09,64,2489,96,121748
30,38.42,65,2496,96,121744
40,39.78,66,2496,96,121743
50,35.83,65,2496,96,121747
60,53.53,66,2470,96,121738
70,39.71,66,2496,96,121738
81,40.81,66,2496,96,121743
91,40.73,66,2496,96,121734
101,40.70,66,2496,96,121732
111,40.70,66,2496,96,121736
121,40.69,66,2496,96,121730
131,39.75,66,2496,96,121746
141,39.79,66,2496,96,121734
151,38.42,65,2496,96,121727
161,31.77,63,2457,96,121730
171,39.71,65,2496,96,121722
181,39.82,66,2496,96,121720
191,35.91,65,2496,96,121711
201,35.79,64,2496,96,121707
212,38.17,64,2496,96,121710
222,14.53,58,2411,0,121713
232,46.87,61,2509,96,121715
242,40.78,62,2509,96,121719
252,40.96,63,2489,96,121714
262,14.58,59,2411,0,121715
272,40.42,61,2509,96,121725
282,35.27,62,2496,96,121734
292,35.30,62,2496,96,121731
302,35.32,62,2496,96,121730
312,39.17,64,2496,96,121729
322,39.23,64,2496,96,121729
332,39.38,64,2496,96,121731
342,39.36,64,2496,96,121724
352,65.78,69,2470,96,121725
362,37.26,64,2496,96,121726
373,38.06,64,2496,96,121743
383,38.04,64,2496,96,121748
393,42.68,66,2496,95,121747
403,41.24,65,2496,96,121748
413,41.20,65,2489,96,121751
423,44.10,65,2496,96,121754
433,37.20,64,2496,96,121755
443,41.29,65,2489,96,121750
453,30.44,61,2411,0,121746
463,68.25,67,2450,96,121748
473,35.81,64,2496,96,121741
483,35.79,64,2496,96,121736
493,35.72,64,2496,96,121734
503,39.52,65,2496,96,121733
514,39.52,65,2496,96,121731
524,41.21,65,2489,96,121730
534,41.40,65,2489,96,121732
544,41.32,65,2489,96,121733
554,38.19,65,2496,96,121730
564,41.33,65,2489,96,121725
574,40.82,65,2496,96,121723
584,14.94,61,2411,0,121724
594,37.75,61,2496,96,121726
604,40.72,63,2509,96,121728
614,43.99,63,2496,96,121728
624,40.94,64,2496,96,121732
634,64.71,70,2450,96,121723
644,35.68,64,2496,96,121729
654,35.57,63,2496,96,121723
664,35.47,63,2496,96,121721
675,35.47,63,2496,96,121716
685,35.47,63,2496,96,121706
695,35.49,63,2496,96,121705
705,73.99,70,2457,96,121707
715,39.44,65,2496,96,121716
725,35.63,64,2496,96,121719
735,41.17,65,2489,96,121722
745,38.05,64,2496,96,121723
755,35.74,64,2496,96,121721
765,35.74,64,2496,96,121724
775,39.55,65,2496,96,121720
785,39.59,65,2496,96,121726
795,39.61,65,2496,96,121718
806,48.52,65,2496,96,121728
816,39.57,65,2496,96,121721
826,39.53,65,2496,96,121721
836,38.12,64,2496,96,121716
846,35.80,64,2496,96,121717
856,38.15,64,2496,96,121720
