elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,73.58,67,2450,96,119420
20,38.99,66,2496,96,119744
30,38.97,66,2496,96,120090
40,74.87,73,2437,38,120383
50,39.19,67,2496,96,120758
60,39.14,67,2496,96,121124
70,49.83,71,2444,96,120808
80,39.42,67,2496,96,118896
91,39.24,67,2496,96,117823
101,45.54,65,2470,10,118073
111,39.45,68,2496,96,118458
121,39.31,67,2496,96,118740
131,38.57,67,2496,96,119124
141,44.07,70,2489,96,119303
151,43.87,69,2489,96,119658
161,43.84,69,2489,96,120027
171,41.30,69,2496,96,120315
181,76.30,73,2424,96,120702
191,44.17,70,2489,96,121024
201,43.96,70,2489,96,121206
211,43.94,70,2489,96,119933
221,42.74,69,2489,96,117607
231,75.91,75,2431,96,117942
241,44.23,71,2489,96,118326
252,43.96,70,2489,96,118784
262,39.68,69,2496,96,119223
272,75.62,75,2424,96,119576
282,44.30,71,2489,96,119889
292,44.08,70,2489,96,120266
302,43.94,70,2489,96,120393
312,44.00,70,2489,96,120547
322,73.44,75,2431,96,120733
332,45.41,73,2470,96,120732
342,44.39,72,2470,96,120253
352,43.94,71,2483,96,117888
362,44.72,71,2489,96,118020
372,44.74,71,2489,96,118277
382,75.95,76,2424,95,118620
392,76.19,78,2418,96,118845
402,45.11,73,2470,96,119014
413,44.99,72,2470,96,116895
423,44.87,71,2489,96,116882
433,44.59,70,2489,96,116899
443,40.79,69,2496,96,116900
453,76.27,74,2424,96,116899
463,53.88,77,2411,96,116901
473,44.90,71,2489,96,116897
483,44.54,70,2489,96,116900
493,44.44,70,2489,96,116904
503,44.26,70,2489,96,116991
513,52.14,72,2418,96,116990
523,74.63,76,2424,96,117000
533,44.65,72,2424,96,117007
543,44.75,71,2489,96,116935
553,44.57,70,2489,96,116926
564,44.48,70,2489,96,116921
574,44.26,69,2489,96,116932
