elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.62,64,2405,0,120863
20,44.95,68,2496,96,120733
30,46.74,69,2496,95,120683
40,45.21,69,2496,96,120628
50,15.77,65,2405,0,120129
60,43.80,68,2489,96,120135
70,15.09,62,2411,0,120138
80,43.21,65,2483,96,120141
90,48.85,64,2496,96,120132
100,42.42,65,2496,96,120136
110,25.09,62,2405,96,120140
120,42.98,65,2483,96,120127
130,14.96,61,2411,0,120123
140,42.37,65,2483,96,120121
150,43.18,67,2496,96,120123
160,41.41,67,2489,96,120126
170,16.05,63,2405,96,120129
181,14.62,60,2411,0,120139
191,40.57,63,2509,96,120126
201,42.99,65,2483,96,120128
211,45.83,66,2489,96,120147
221,42.98,66,2496,96,120148
231,43.17,66,2496,96,120143
241,44.02,67,2483,96,120144
251,41.51,67,2489,96,120137
261,43.24,67,2483,96,120140
271,41.52,67,2496,96,120147
281,14.93,61,2411,0,120141
291,42.76,65,2496,96,120138
301,43.06,66,2496,96,120137
311,41.29,66,2496,96,120143
321,46.98,67,2483,96,120140
331,15.25,62,2405,0,120137
341,14.67,60,2411,0,120141
351,14.48,59,2411,0,120139
362,14.13,57,2411,0,120139
372,42.53,63,2483,96,120143
382,27.49,64,2431,0,120131
392,24.85,59,2411,0,120132
402,14.39,58,2411,0,120136
412,27.83,61,2463,96,120136
422,40.43,62,2515,96,120139
432,32.76,58,2502,2,120143
442,42.50,63,2483,96,120138
452,40.48,63,2489,96,120141
462,42.52,64,2496,96,120144
472,42.99,65,2483,96,120147
482,14.38,58,2411,0,120156
492,43.35,63,2496,96,120159
502,42.08,64,2489,96,120150
512,42.45,64,2483,96,120151
522,14.49,59,2411,0,120154
532,14.61,60,2411,0,120154
542,42.56,63,2483,96,120156
552,40.89,61,2515,96,120143
562,42.17,62,2502,96,120146
573,14.32,58,2411,37,120142
583,13.90,55,2411,0,120150
593,41.42,61,2496,96,120148
603,36.28,61,2502,0,120147
613,43.61,63,2496,96,120144
623,43.14,64,2496,96,120145
633,14.40,58,2411,0,120144
643,13.97,56,2411,0,120139
653,34.93,58,2502,96,120140
663,43.27,61,2515,96,120140
673,27.57,61,2424,71,120138
683,14.03,56,2411,0,120147
693,13.80,54,2411,0,120140
703,42.19,60,2502,96,120139
713,44.12,59,2502,96,120141
723,13.83,55,2411,0,120140
733,13.60,53,2411,0,120155
743,41.58,57,2496,96,120153
753,19.03,54,2411,0,120154
763,13.42,52,2405,0,120411
773,13.43,52,2405,0,121177
783,13.83,53,2411,0,121941
794,13.42,52,2405,0,122383
804,25.81,52,2411,0,122234
814,13.98,54,2411,0,122889
824,37.15,60,2450,0,123244
834,38.55,60,2515,96,123775
844,22.26,61,2411,20,123849
854,14.09,55,2411,0,122917
