elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,15.86,65,2405,0,116943
20,46.57,69,2489,96,116940
30,39.59,69,2496,96,116935
40,39.53,69,2496,96,116919
50,39.40,68,2496,96,116921
60,55.16,68,2496,96,116920
70,39.29,68,2496,96,116930
80,41.47,69,2496,96,116927
90,39.47,69,2496,96,116927
101,39.43,68,2496,96,116934
111,38.36,68,2496,96,116932
121,46.80,69,2496,96,116930
131,15.34,62,2411,0,116931
141,14.62,59,2411,0,116932
151,14.24,57,2411,0,116933
161,14.53,59,2411,0,116934
171,40.17,63,2496,96,116947
181,38.21,64,2496,96,116934
191,38.29,64,2496,96,116935
201,14.49,59,2411,0,116932
211,14.13,56,2411,0,116932
221,13.87,55,2411,0,116934
231,65.01,60,2489,96,116929
241,44.62,61,2515,96,116932
251,44.91,63,2515,96,116936
261,45.15,64,2496,96,116929
271,44.79,62,2489,96,116933
281,38.00,63,2496,96,116933
291,37.98,63,2496,96,116933
302,36.99,63,2496,96,116934
312,38.13,64,2496,96,116933
322,38.22,64,2496,96,116940
332,37.24,64,2496,96,116939
342,37.23,64,2496,96,116941
352,53.97,71,2483,96,116947
362,14.59,60,2411,0,116945
372,14.15,57,2411,0,116943
382,36.49,60,2515,96,116943
392,44.83,63,2489,96,116952
402,44.97,64,2489,96,116948
412,45.23,64,2489,96,116948
422,64.97,72,2457,96,116947
432,45.51,65,2496,96,116946
442,45.26,64,2496,96,116942
452,45.34,65,2489,96,116950
462,55.41,73,2476,96,116947
472,38.40,65,2496,96,116943
483,37.83,64,2496,96,116943
493,14.95,61,2411,0,116946
503,37.31,64,2496,96,116947
513,45.52,65,2489,96,116945
523,45.69,66,2489,96,116940
533,14.78,60,2411,0,116942
543,45.24,64,2489,96,116943
553,37.07,63,2496,96,116942
563,45.44,65,2489,96,116939
573,45.56,65,2496,96,116939
583,15.07,61,2411,0,116938
593,14.23,57,2411,0,116936
603,45.03,64,2489,96,116937
613,57.50,70,2476,96,116942
623,45.33,65,2489,96,116936
633,45.45,65,2489,96,116935
643,38.52,65,2496,96,116939
653,38.46,65,2496,96,116942
664,37.84,64,2496,96,116943
674,45.78,66,2496,96,116946
684,45.39,65,2489,96,116948
694,38.35,64,2496,96,116950
704,45.32,64,2496,96,116949
714,37.31,64,2496,96,116945
724,45.70,66,2489,96,116950
734,14.39,58,2411,0,116948
744,43.97,64,2489,96,116950
754,43.47,64,2496,96,116942
764,56.81,65,2483,96,116933
774,40.49,65,2496,96,116937
784,66.95,71,2450,95,117004
794,70.83,74,2450,96,117060
804,37.04,65,2496,96,117042
814,37.05,65,2496,96,117056
824,45.94,67,2496,96,117052
835,46.06,67,2496,96,116988
845,37.70,66,2496,96,116976
855,45.94,67,2489,96,116965
865,46.06,67,2496,96,116960
875,38.44,66,2496,96,116986
885,38.74,66,2496,96,116962
895,14.73,60,2411,0,116961
905,36.89,63,2496,96,116963
915,45.44,65,2489,96,116953
925,45.62,66,2496,96,116950
935,14.45,58,2411,0,116949
945,55.06,62,2502,96,116956
955,63.67,70,2476,96,116956
965,40.32,64,2496,96,116953
975,40.35,64,2496,96,116953
985,45.61,65,2496,96,116960
995,37.35,64,2496,96,116959
1005,45.70,66,2496,96,116952
1016,45.71,66,2496,96,116954
1026,45.77,66,2489,96,116954
1036,45.81,67,2496,96,116957
1046,28.49,63,2405,0,116201
1056,14.55,59,2411,0,116967
1066,71.45,71,2463,95,116974
1076,38.78,65,2496,96,116962
1086,40.16,65,2496,96,116952
1096,44.01,67,2496,96,116948
1106,44.01,67,2496,96,116947
1116,40.75,66,2496,96,116942
1126,15.13,62,2411,0,116933
1136,40.83,67,2496,96,116935
1146,38.94,66,2496,96,116928
1156,38.64,65,2496,96,116933
1166,67.83,65,2463,96,116930
1176,45.72,66,2496,96,116932
1187,37.48,65,2496,96,116935
1197,40.88,66,2496,96,116932
1207,40.57,66,2496,96,116937
1217,40.60,66,2496,96,116945
1227,74.41,73,2450,95,116940
1237,37.69,66,2496,96,116936
1247,47.60,71,2496,96,116941
1257,45.92,67,2496,96,116943
1267,38.81,66,2496,96,116943
1277,44.04,66,2496,96,116949
1287,39.51,67,2496,96,116941
1297,50.05,73,2496,96,116942
1307,41.02,67,2496,96,116943
1317,46.03,67,2489,96,116946
1327,38.87,66,2496,96,116957
1337,37.66,66,2496,96,116949
1347,42.89,66,2483,96,116947
1358,63.57,67,2463,96,116953
1368,64.91,71,2496,95,116949
1378,41.10,67,2496,96,116942
1388,38.86,66,2496,96,116936
1398,48.34,67,2496,96,116939
1408,40.93,67,2496,96,116941
1418,46.77,68,2496,96,116945
1428,46.97,67,2496,96,116940
1438,41.15,67,2496,96,116945
1448,65.16,69,2450,96,116945
1458,40.93,67,2496,96,116951
1468,38.06,66,2496,96,116951
1478,38.23,66,2496,96,116946
1488,41.24,67,2496,96,116946
1498,38.88,66,2496,96,116940
1508,50.94,67,2496,96,116942
1518,39.28,68,2496,96,116929
1529,85.55,73,2450,95,116927
1539,40.91,67,2496,96,116937
1549,41.01,67,2496,96,116934
1559,38.93,67,2496,96,116939
1569,43.51,68,2496,96,116931
1579,46.20,68,2496,96,116936
1589,46.22,68,2496,96,116935
1599,14.92,61,2411,0,116934
1609,55.11,71,2496,96,116946
1619,46.98,68,2496,96,116928
1629,44.72,68,2496,96,116921
1639,43.88,68,2496,96,116920
1649,40.85,67,2496,96,116923
1659,41.13,68,2496,96,116926
1669,39.08,67,2496,96,116930
1679,39.93,67,2496,96,116927
1689,60.87,76,2463,96,116933
1700,73.60,74,2450,96,116946
1710,68.29,75,2457,95,116946
1720,41.10,69,2496,96,116942
1730,41.41,68,2496,96,116952
1740,39.66,68,2496,96,116955
1750,54.67,75,2463,96,116955
1760,41.31,68,2496,96,116955
1770,41.49,69,2496,96,116951
1780,41.31,68,2496,96,116956
1790,39.17,68,2496,96,116957
1800,39.02,67,2496,96,116959
1810,87.56,76,2450,95,116957
1820,41.23,68,2496,96,116953
1830,41.21,69,2496,96,116960
1840,41.27,69,2496,96,116956
1850,41.46,69,2496,96,116969
1861,41.35,69,2496,96,116970
1871,41.34,69,2496,96,116960
1881,45.08,69,2496,96,116957
1891,41.63,69,2496,96,116954
1901,41.48,69,2496,96,116953
1911,39.39,68,2496,96,116955
1921,53.65,76,2483,96,116950
1931,44.35,70,2496,96,116951
1941,41.40,69,2496,96,116952
1951,38.23,68,2496,96,116949
1961,46.58,69,2496,96,116950
1971,15.73,64,2405,0,116506
