elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,45.40,73,2463,96,120593
20,40.36,66,2476,96,120564
31,64.65,70,2418,96,120576
41,45.10,67,2496,96,120567
51,42.60,67,2496,96,120568
61,42.56,67,2496,96,120574
71,45.50,69,2496,96,120585
81,45.74,69,2496,96,120586
91,45.78,70,2496,96,120599
101,46.00,70,2496,96,120588
111,41.05,69,2476,96,120625
121,51.60,68,2489,96,120630
131,40.90,68,2476,96,120643
141,43.00,69,2496,96,120641
151,43.12,69,2496,96,120648
161,43.31,70,2496,96,120624
172,43.29,70,2496,96,120631
182,84.74,77,2411,96,120628
192,86.38,77,2411,96,120646
202,46.24,71,2489,96,120656
212,78.75,77,2411,96,120656
222,86.59,78,2411,95,120660
232,46.46,72,2470,96,120669
242,42.09,71,2476,96,120666
252,48.31,71,2470,96,120673
262,41.81,70,2476,96,120690
272,86.71,79,2411,95,120698
282,88.14,81,2411,96,120708
292,43.99,72,2496,96,120706
302,44.17,73,2470,96,120708
312,87.49,78,2411,96,120705
322,80.01,78,2411,95,120721
332,87.24,81,2398,96,120717
342,47.33,74,2470,96,120726
353,88.22,81,2392,95,120726
363,47.58,75,2470,96,120722
373,87.86,80,2392,96,120722
383,47.56,75,2470,96,120739
393,88.04,79,2405,95,120743
403,86.88,80,2405,95,120740
413,65.48,78,2437,96,120749
423,89.08,77,2392,95,120748
433,42.14,70,2483,96,120757
443,41.59,69,2476,96,120762
453,89.36,76,2405,95,120761
463,43.60,70,2496,96,120758
473,89.77,77,2405,95,120774
483,46.87,70,2489,96,120784
493,88.06,79,2411,96,120782
503,90.29,76,2405,95,120785
513,53.37,72,2470,96,120794
523,87.93,76,2411,96,120793
534,87.67,79,2405,95,120798
544,46.97,73,2470,96,120780
554,89.23,79,2398,95,120755
564,85.72,79,2411,96,120751
574,87.46,82,2405,95,120763
584,88.51,78,2405,95,120759
594,87.13,80,2398,95,120760
604,86.45,80,2411,95,120761
614,54.57,71,2483,96,120754
624,87.96,79,2411,95,120757
634,87.79,79,2398,96,120762
644,43.43,71,2470,96,120769
