elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.51,58,2411,0,117704
20,72.90,70,2450,96,117715
30,78.62,72,2437,96,117723
40,39.81,67,2496,96,117705
50,39.61,66,2496,96,117703
60,56.33,66,2489,96,117697
70,39.79,66,2496,96,117694
80,39.76,66,2496,96,117700
90,52.77,66,2496,96,117707
101,39.91,67,2496,96,117711
111,39.98,66,2496,96,117704
121,39.82,66,2496,96,117702
131,39.99,66,2496,96,117699
141,56.85,67,2476,96,117704
151,67.95,72,2444,96,117701
161,73.21,73,2437,96,117700
171,40.04,67,2496,96,117703
181,39.96,67,2496,96,117690
191,39.95,67,2496,96,117688
201,40.04,68,2496,96,117699
211,39.89,67,2496,96,117695
221,39.94,67,2496,96,117697
231,39.89,67,2496,96,117698
242,40.05,67,2496,96,117701
252,40.11,67,2496,96,117702
262,39.93,67,2496,96,117697
272,40.10,67,2496,96,117702
282,40.15,67,2496,96,117713
292,40.12,67,2496,96,117703
302,45.53,67,2496,96,117703
312,40.01,67,2496,96,117708
322,61.25,68,2444,96,117701
332,40.25,68,2496,96,117701
342,54.94,67,2496,96,117702
352,76.02,74,2437,96,117695
362,73.64,73,2444,96,117692
373,40.17,68,2496,96,117693
383,40.16,68,2496,96,117694
393,48.51,67,2496,96,117696
403,55.43,73,2470,96,117696
413,40.16,67,2496,96,117701
423,60.73,72,2457,96,117700
433,61.90,72,2496,96,117703
443,52.90,67,2496,96,117700
453,40.09,67,2496,96,117703
463,40.20,68,2496,96,117710
473,43.60,68,2496,96,117706
483,40.13,68,2496,96,117708
493,59.83,72,2457,96,117707
503,51.67,71,2476,96,117704
513,70.70,68,2463,96,117703
524,40.16,67,2496,96,117692
534,40.03,67,2496,96,117687
544,54.29,71,2457,95,117819
554,39.77,68,2496,96,117807
564,39.65,68,2496,96,117785
574,41.22,68,2496,96,117787
584,43.03,68,2496,96,117752
594,54.05,72,2450,96,117740
604,67.94,73,2457,96,117733
614,43.34,68,2489,96,117729
624,41.58,68,2496,96,117730
634,40.27,68,2496,96,117733
644,40.27,68,2496,96,117736
654,40.27,68,2496,96,117737
665,40.33,68,2496,96,117726
675,56.31,68,2496,96,117727
685,47.84,68,2496,96,117726
695,44.67,67,2496,96,117735
705,40.02,67,2496,96,117723
715,47.02,68,2496,96,117725
725,40.12,68,2496,96,117717
735,40.04,68,2496,96,117714
745,40.06,67,2496,96,117707
755,40.08,68,2496,96,117716
765,61.16,73,2450,96,117721
775,39.99,67,2496,96,117710
785,40.23,68,2496,96,117709
795,40.11,68,2496,96,117711
806,44.30,68,2496,96,117712
816,40.13,68,2496,96,117708
826,40.23,68,2496,96,117711
836,46.33,71,2483,96,117714
846,43.43,68,2496,96,117709
856,40.12,67,2496,96,117702
866,40.21,68,2496,96,117706
876,66.29,73,2437,96,117710
886,40.22,68,2496,96,117703
896,40.26,68,2496,96,117703
906,40.26,67,2496,96,117702
916,69.36,73,2470,96,117708
926,40.11,68,2496,96,117709
936,63.21,73,2450,96,117707
946,40.08,68,2496,96,117708
957,67.04,75,2444,96,117697
967,40.13,67,2496,96,117699
977,53.70,68,2496,96,117691
987,40.06,67,2496,96,117689
997,40.08,67,2496,96,117689
1007,59.89,74,2450,96,117689
1017,40.35,68,2496,96,117689
1027,46.45,67,2496,96,117691
1037,40.07,68,2496,96,117694
1047,40.10,68,2496,96,117699
1057,40.15,68,2496,96,117714
1067,40.01,67,2496,96,117702
1077,65.88,74,2450,96,117705
1087,40.30,68,2496,96,117709
1098,40.19,68,2496,96,117712
1108,40.13,68,2496,96,117716
1118,40.06,68,2496,96,117702
1128,39.71,67,2496,96,117705
1138,39.62,67,2496,96,117702
1148,39.57,67,2496,96,117694
1158,39.13,67,2496,96,117696
1168,39.18,66,2496,96,117686
1178,39.17,66,2496,96,117690
1188,39.22,66,2496,96,117691
1198,36.12,65,2496,96,117692
