elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,39.62,66,2483,96,117551
20,51.63,66,2483,96,117527
30,42.92,67,2489,96,117535
40,52.83,66,2418,59,117546
50,42.94,67,2489,96,117540
60,42.94,68,2489,96,117571
70,44.49,68,2489,96,117582
80,43.03,68,2489,96,117569
90,44.59,68,2489,96,117585
100,44.48,68,2489,96,117591
111,44.67,69,2489,96,117611
121,44.43,69,2489,96,117612
131,44.78,69,2489,96,117629
141,44.50,69,2489,96,117631
151,49.60,66,2411,96,117646
161,44.67,69,2489,96,117651
171,40.22,68,2483,96,117664
181,40.21,68,2483,96,117681
191,75.60,73,2431,96,117718
201,43.26,68,2489,96,117726
211,57.95,69,2489,96,117752
221,43.32,68,2489,96,117756
231,43.35,69,2489,96,117770
241,75.55,72,2424,96,117771
251,43.44,69,2489,96,117779
261,77.16,73,2418,96,117804
271,45.06,70,2489,96,117813
282,41.96,70,2489,96,117813
292,45.38,71,2489,96,117855
302,45.04,70,2489,96,117853
312,77.56,74,2424,96,117903
322,45.27,71,2489,96,118055
332,45.11,70,2489,96,118116
342,46.52,68,2405,16,118432
352,45.17,71,2489,96,118525
362,41.28,70,2483,96,117753
372,40.73,69,2483,96,117786
382,40.75,69,2483,96,117831
392,79.55,77,2424,96,117831
402,44.00,71,2489,96,117841
412,80.56,77,2418,96,117851
422,44.13,71,2489,96,117857
432,80.45,78,2418,96,117853
442,44.21,71,2489,96,117856
453,79.31,75,2418,96,117858
463,44.06,71,2483,96,117858
473,81.44,79,2418,95,117860
483,46.13,74,2470,96,117882
493,45.60,73,2470,96,117883
503,80.05,78,2411,96,117882
513,60.50,72,2411,4,117903
523,45.85,73,2470,96,117914
533,80.69,77,2418,96,117920
543,80.87,81,2418,96,117907
553,46.06,74,2470,96,117913
563,45.73,73,2470,96,117930
573,79.85,79,2418,96,117930
583,46.35,75,2470,96,117935
593,45.80,73,2470,96,117938
603,41.53,72,2463,96,117954
613,66.61,78,2418,96,117976
623,41.50,72,2463,96,117993
634,79.61,78,2405,96,118066
644,44.59,74,2470,96,118091
654,82.18,78,2411,96,118117
664,82.06,81,2392,96,118093
674,44.83,74,2470,96,118071
684,83.46,81,2411,96,118038
694,45.20,75,2470,96,118051
704,81.01,79,2411,96,118056
714,65.15,76,2437,96,118074
724,44.96,74,2470,96,118077
734,80.59,80,2411,96,118072
744,81.61,82,2411,96,118065
754,46.82,76,2470,96,118073
764,46.02,73,2470,96,118065
774,81.74,76,2411,96,118058
785,81.70,77,2418,96,118061
795,67.03,78,2418,48,118074
805,45.67,72,2470,96,118068
815,78.27,77,2418,96,118073
825,80.13,76,2418,95,118077
835,79.28,82,2411,96,118079
845,45.43,72,2470,96,118089
855,78.42,73,2418,96,118087
865,79.40,75,2418,95,118073
875,80.03,76,2418,95,118077
885,45.78,72,2489,96,118093
895,44.11,70,2489,96,118095
