elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.95,60,2411,0,119591
20,77.25,70,2470,96,119623
30,60.27,65,2463,86,119672
40,55.65,72,2450,96,119699
50,46.29,67,2489,96,119717
60,46.83,69,2489,96,119765
70,46.95,69,2489,96,119733
80,43.59,69,2489,96,119737
90,40.14,69,2489,96,119755
100,63.92,73,2418,96,119782
110,47.43,70,2489,96,119823
120,47.51,71,2489,96,119845
130,41.21,72,2444,0,119869
140,44.89,71,2496,96,119882
150,43.47,71,2496,96,119889
161,45.08,72,2470,96,119901
171,48.47,71,2470,96,119884
181,37.67,70,2496,96,119907
191,58.05,70,2450,50,119913
201,40.69,68,2489,96,119936
211,40.60,67,2483,96,119968
221,44.40,68,2489,96,120160
231,40.82,68,2489,96,119970
241,44.37,68,2496,96,120018
251,46.69,68,2489,96,120058
261,46.72,69,2489,96,120087
271,46.87,69,2489,96,120100
281,42.53,68,2496,96,120126
291,44.27,68,2489,96,120152
301,39.82,67,2489,96,120166
311,65.53,68,2476,96,120171
322,46.75,68,2489,96,120202
332,46.92,73,2457,96,120229
342,59.64,73,2450,96,120239
352,59.29,68,2470,96,120261
362,43.62,68,2489,96,120262
372,40.36,67,2483,96,120273
382,41.05,66,2489,96,120301
392,15.22,62,2411,0,120304
402,49.05,70,2463,96,120323
412,14.94,61,2411,0,120331
422,41.53,64,2496,96,120366
432,50.46,67,2431,67,120383
442,43.30,65,2489,96,120396
452,42.00,65,2496,96,120408
462,41.69,65,2496,96,120431
472,43.78,66,2489,96,120435
482,60.47,67,2457,96,120463
493,43.81,66,2489,96,120501
503,43.62,66,2496,96,120520
513,46.32,66,2489,96,120548
523,43.72,66,2496,96,120566
533,75.89,70,2457,96,120568
543,45.79,66,2496,96,120594
553,46.19,67,2489,96,120617
563,46.42,67,2489,96,120614
573,46.30,67,2489,96,120624
583,47.53,71,2411,96,120633
593,39.04,66,2489,96,120635
603,39.24,65,2489,96,120655
613,64.73,71,2457,96,120706
623,43.61,66,2496,96,120727
633,63.75,71,2463,2,120744
644,43.67,66,2496,96,120757
654,55.39,71,2450,4,120763
664,39.06,68,2463,1,120799
674,39.08,63,2457,0,120834
684,46.24,67,2489,96,120857
694,43.61,66,2489,96,120858
