elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.55,58,2411,0,121023
20,67.37,69,2476,96,121032
30,68.22,71,2470,96,121019
40,68.29,71,2463,96,121005
50,68.41,71,2463,95,120998
60,67.09,73,2463,96,121009
70,67.68,73,2463,96,121001
80,67.20,71,2463,96,121004
91,48.73,72,2463,96,121004
101,47.06,70,2483,96,121005
111,58.91,71,2470,96,121006
121,47.22,72,2476,96,121006
131,47.49,70,2483,95,121008
141,70.28,72,2463,96,121005
151,66.68,75,2463,96,121009
161,70.94,75,2463,96,121006
171,47.41,71,2463,96,121010
181,48.01,72,2483,96,121010
191,46.49,71,2476,96,121014
201,57.71,74,2463,96,120841
211,47.41,71,2476,96,120932
222,69.60,77,2463,96,120958
232,47.56,71,2470,96,120937
242,70.33,77,2463,96,120919
252,70.18,77,2457,96,120937
262,47.10,72,2463,96,120905
272,70.75,75,2463,96,120899
282,66.90,74,2463,96,120894
292,67.24,77,2463,96,120884
302,68.34,77,2463,96,120874
312,48.45,73,2463,96,120877
322,67.97,75,2463,96,120886
332,48.17,73,2457,96,120879
342,47.60,72,2470,96,120878
352,58.63,73,2463,96,120880
363,62.97,75,2457,96,120881
373,70.66,76,2463,96,120886
383,68.21,77,2463,96,120879
393,68.07,77,2457,96,120883
403,70.58,78,2463,96,120880
413,47.70,73,2463,96,120882
423,47.67,73,2457,96,120881
433,47.50,72,2463,96,120875
443,67.46,78,2463,96,120878
453,67.77,75,2463,96,120882
463,70.68,75,2463,96,120881
473,60.92,75,2463,96,120874
483,70.54,76,2457,96,120877
493,48.14,73,2463,96,120880
504,70.49,74,2463,96,120875
514,70.62,74,2463,96,120878
524,46.34,72,2470,96,120873
534,70.51,76,2457,96,120871
544,47.94,72,2457,96,120874
554,47.91,73,2463,96,120868
564,65.35,76,2463,96,120866
574,68.12,77,2463,96,120869
584,47.54,72,2463,96,120873
594,70.83,76,2463,96,120879
604,68.71,76,2457,96,120882
614,71.97,78,2463,96,120892
624,70.92,79,2463,96,120892
634,68.56,78,2463,96,120887
645,50.91,74,2463,96,120880
655,56.50,74,2463,96,120880
665,48.64,73,2463,96,120878
675,71.49,76,2463,96,120887
685,48.35,73,2463,96,120881
695,47.27,74,2463,96,120872
705,47.79,73,2457,96,120872
715,67.33,78,2463,96,120878
725,71.47,76,2457,96,120879
735,70.86,75,2463,96,120882
745,71.08,78,2463,96,120876
755,57.87,73,2463,96,120866
765,69.47,77,2457,96,120867
775,69.24,79,2457,96,120869
786,47.87,73,2463,96,120872
796,47.70,73,2463,96,120869
806,63.24,76,2470,96,120872
816,68.07,77,2463,96,120876
826,71.04,76,2463,96,120887
836,70.77,76,2463,96,120882
846,71.03,75,2457,96,120885
856,67.84,78,2457,96,120882
866,48.54,73,2457,96,120882
876,67.59,79,2463,96,120881
886,67.94,73,2463,94,120879
896,47.81,73,2463,96,120874
906,70.68,75,2463,96,120882
916,48.65,74,2463,96,120884
926,47.65,72,2463,96,120874
937,47.69,73,2463,96,120873
947,67.47,74,2463,96,120876
957,48.03,73,2457,96,120873
967,70.99,77,2463,96,120875
977,47.88,73,2463,96,120872
987,71.30,77,2463,96,120871
997,46.93,73,2457,96,120880
1007,67.65,75,2463,96,120882
1017,47.38,72,2457,96,120876
1027,46.89,72,2470,96,120877
1037,46.92,73,2463,96,120874
1047,68.72,78,2463,96,120876
1057,68.50,76,2463,96,120882
1067,68.85,77,2457,96,120880
1078,48.19,73,2463,96,120880
1088,68.18,74,2463,94,120888
1098,68.01,78,2463,96,120887
1108,48.35,72,2457,96,120889
1118,52.68,73,2463,96,120891
1128,67.75,78,2463,96,120878
1138,66.67,78,2463,96,120883
1148,48.04,73,2463,96,120884
1158,47.70,73,2463,96,120884
1168,67.37,77,2463,96,120892
1178,47.30,73,2463,96,120906
