[01:57:16] === bench-spark run ===
[01:57:16] Profile: nemotron-3-super-120b-a12b-nvfp4
[01:57:16] Tests:   A B C D E F G H I J
[01:57:16] Results: /home/spark/benchmarks/bench-spark/results/nemotron-3-super-120b-a12b/nvfp4
[01:57:16] ── START A ──
[01:58:16]     ... A running: 60s, GPU 96%
[01:59:16]     ... A running: 120s, GPU 96%
[02:00:16]     ... A running: 180s, GPU 96%
[02:01:16]     ... A running: 240s, GPU 96%
[02:02:16]     ... A running: 300s, GPU 96%
[02:03:16]     ... A running: 360s, GPU 96%
[02:04:16]     ... A running: 420s, GPU 89%
[02:05:17]     ... A running: 481s, GPU 96%
[02:06:17]     ... A running: 541s, GPU 96%
[02:07:17]     ... A running: 601s, GPU 96%
[02:08:17]     ... A running: 661s, GPU 96%
[02:09:17]     ... A running: 721s, GPU 96%
[02:10:17]     ... A running: 781s, GPU 96%
[02:11:17]     ... A running: 841s, GPU 96%
[02:12:17]     ... A running: 901s, GPU 96%
[02:13:17]     ... A running: 961s, GPU 96%
[02:14:17]     ... A running: 1021s, GPU 96%
[02:15:17]     ... A running: 1081s, GPU 96%
[02:16:17]     ... A running: 1141s, GPU 96%
[02:17:17]     ... A running: 1201s, GPU 96%
[02:18:17]     ... A running: 1261s, GPU 96%
[02:19:17]     ... A running: 1321s, GPU 96%
[02:20:17]     ... A running: 1381s, GPU 96%
[02:21:17]     ... A running: 1441s, GPU 96%
[02:22:17]     ... A running: 1501s, GPU 96%
[02:23:17]     ... A running: 1561s, GPU 96%
[02:24:17]     ... A running: 1621s, GPU 96%
[02:25:18]     ... A running: 1682s, GPU 96%
[02:26:18]     ... A running: 1742s, GPU 96%
[02:27:18]     ... A running: 1802s, GPU 96%
[02:28:18]     ... A running: 1862s, GPU 96%
[02:29:18]     ... A running: 1922s, GPU 96%
[02:30:18]     ... A running: 1982s, GPU 96%
[02:31:18]     ... A running: 2042s, GPU 96%
[02:32:18]     ... A running: 2102s, GPU 96%
[02:33:18]     ... A running: 2162s, GPU 96%
[02:33:48] ── END A (2192s) ──
[02:33:48] ── START B ──
[02:34:48]     ... B running: 60s, GPU 96%
[02:35:48]     ... B running: 120s, GPU 96%
[02:36:49]     ... B running: 181s, GPU 96%
[02:37:49]     ... B running: 241s, GPU 96%
[02:38:49]     ... B running: 301s, GPU 96%
[02:39:49]     ... B running: 361s, GPU 96%
[02:40:49]     ... B running: 421s, GPU 96%
[02:41:49]     ... B running: 481s, GPU 96%
[02:42:49]     ... B running: 541s, GPU 96%
[02:43:49]     ... B running: 601s, GPU 96%
[02:44:49]     ... B running: 661s, GPU 96%
[02:45:49]     ... B running: 721s, GPU 96%
[02:46:49]     ... B running: 781s, GPU 96%
[02:47:49]     ... B running: 841s, GPU 95%
[02:48:49]     ... B running: 901s, GPU 96%
[02:49:49]     ... B running: 961s, GPU 94%
[02:50:49]     ... B running: 1021s, GPU 96%
[02:51:49]     ... B running: 1081s, GPU 96%
[02:52:49]     ... B running: 1141s, GPU 96%
[02:53:49]     ... B running: 1201s, GPU 96%
[02:54:49]     ... B running: 1261s, GPU 96%
[02:55:50]     ... B running: 1322s, GPU 96%
[02:56:50]     ... B running: 1382s, GPU 96%
[02:57:50]     ... B running: 1442s, GPU 96%
[02:58:50]     ... B running: 1502s, GPU 96%
[02:59:50]     ... B running: 1562s, GPU 96%
[03:00:50]     ... B running: 1622s, GPU 96%
[03:01:50]     ... B running: 1682s, GPU 96%
[03:02:35] ── END B (1727s) ──
[03:02:35] ── START C ──
[03:03:35]     ... C running: 60s, GPU 95%
[03:04:35]     ... C running: 120s, GPU 96%
[03:05:36]     ... C running: 181s, GPU 96%
[03:06:36]     ... C running: 241s, GPU 96%
[03:07:36]     ... C running: 301s, GPU 96%
[03:08:36]     ... C running: 361s, GPU 96%
[03:09:36]     ... C running: 421s, GPU 96%
[03:10:36]     ... C running: 481s, GPU 96%
[03:11:36]     ... C running: 541s, GPU 96%
