elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
11,43.02,67,2489,96,119591
21,43.03,67,2489,96,119540
31,43.08,67,2489,96,119531
41,43.14,67,2489,96,119539
51,43.23,68,2489,96,119511
61,43.16,68,2489,96,119502
71,43.22,68,2489,96,119499
81,60.64,72,2437,96,119502
91,38.19,67,2496,96,119502
101,38.08,67,2496,96,119517
111,38.08,66,2496,96,119507
121,38.08,66,2496,96,119499
131,38.13,66,2496,96,119500
141,38.03,66,2496,96,119497
152,38.00,66,2496,96,119495
162,37.96,66,2496,96,119499
172,37.97,66,2496,96,119493
182,38.09,66,2496,96,119491
192,37.99,66,2496,96,119503
202,37.96,66,2496,96,119499
212,37.92,66,2496,96,119499
222,51.07,67,2496,75,119500
232,37.87,66,2496,96,119499
242,37.85,66,2496,96,119503
252,37.90,66,2496,96,119496
262,37.88,66,2496,96,119487
272,56.60,68,2463,96,119488
282,40.89,67,2496,96,119483
293,40.81,67,2496,96,119477
303,40.86,67,2496,96,119476
313,40.82,67,2496,96,119473
323,40.81,67,2496,96,119475
333,40.82,67,2496,96,119472
343,41.19,68,2496,96,119476
353,40.98,68,2496,96,119481
363,40.93,67,2496,96,119478
373,40.93,67,2496,96,119482
383,40.92,67,2496,96,119490
393,40.90,67,2496,96,119476
403,40.87,67,2496,96,119488
414,41.15,68,2496,96,119492
424,40.99,68,2496,96,119490
434,41.06,68,2496,96,119498
444,41.00,67,2496,96,119498
454,41.00,67,2496,96,119501
464,40.98,67,2496,96,119497
474,40.91,67,2496,96,119506
484,41.17,68,2496,96,119500
494,41.06,68,2496,96,119503
504,40.99,68,2496,96,119503
514,40.93,67,2496,96,119503
524,40.98,67,2496,96,119506
535,41.00,67,2496,96,119505
545,41.01,67,2496,96,119493
