elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,12.55,46,2405,0,120020
20,38.76,52,2509,96,120017
30,39.18,54,2496,96,120009
41,33.26,54,2496,96,120007
51,34.63,55,2496,96,120003
61,34.98,56,2496,96,120008
71,34.88,57,2496,96,120007
81,35.00,57,2496,96,120007
91,33.97,58,2496,96,120006
101,34.44,58,2496,96,120009
111,37.20,59,2496,96,120013
121,37.62,60,2502,96,120010
131,37.89,60,2502,96,120011
141,38.13,61,2502,96,120007
151,37.80,61,2496,96,120012
161,38.62,61,2502,95,120015
171,38.20,62,2502,96,120011
181,38.25,62,2502,96,120019
191,36.54,62,2496,96,120014
202,35.90,62,2496,96,120016
212,36.08,62,2496,96,120017
222,37.69,63,2476,95,120017
232,38.14,63,2483,96,120014
242,38.27,63,2483,96,120016
252,38.16,63,2483,96,120010
262,38.60,63,2483,96,120005
272,38.66,64,2483,96,120010
282,36.79,63,2476,96,120014
292,36.28,63,2476,96,120011
302,35.44,63,2476,96,120015
