[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[20:00:55]     ... 01 running: 60s, GPU 96%, 50.83W, 70C, 2496MHz
[20:01:56]     ... 01 running: 121s, GPU 96%, 51.18W, 71C, 2496MHz
[20:02:56]     ... 01 running: 181s, GPU 96%, 51.08W, 72C, 2470MHz
[20:03:56]     ... 01 running: 241s, GPU 96%, 51.40W, 73C, 2470MHz
[20:04:57]     ... 01 running: 302s, GPU 96%, 51.52W, 73C, 2470MHz
[20:05:57]     ... 01 running: 362s, GPU 96%, 51.53W, 73C, 2470MHz
[20:06:57]     ... 01 running: 422s, GPU 96%, 51.67W, 73C, 2470MHz
[20:07:58]     ... 01 running: 483s, GPU 96%, 51.74W, 74C, 2470MHz
[20:08:58]     ... 01 running: 543s, GPU 96%, 51.68W, 74C, 2470MHz
[20:09:59]     ... 01 running: 604s, GPU 96%, 51.68W, 74C, 2470MHz
[20:10:59]     ... 01 running: 664s, GPU 96%, 51.82W, 74C, 2470MHz
[20:11:59]     ... 01 running: 724s, GPU 96%, 52.01W, 74C, 2470MHz
[20:13:00]     ... 01 running: 785s, GPU 96%, 52.01W, 74C, 2470MHz
[20:14:00]     ... 01 running: 845s, GPU 96%, 51.82W, 74C, 2470MHz
[20:15:00]     ... 01 running: 905s, GPU 96%, 51.98W, 74C, 2470MHz
[20:16:01]     ... 01 running: 966s, GPU 96%, 40.22W, 70C, 2489MHz
[20:17:01]     ... 01 running: 1026s, GPU 96%, 39.33W, 66C, 2489MHz
[20:18:02]     ... 01 running: 1087s, GPU 96%, 39.05W, 66C, 2489MHz
[20:19:02]     ... 01 running: 1147s, GPU 96%, 40.16W, 70C, 2489MHz
[20:20:02]     ... 01 running: 1207s, GPU 96%, 40.37W, 71C, 2489MHz
[20:21:03]     ... 01 running: 1268s, GPU 96%, 39.90W, 69C, 2489MHz
[20:22:03]     ... 01 running: 1328s, GPU 96%, 39.74W, 69C, 2489MHz
[20:23:04]     ... 01 running: 1389s, GPU 96%, 39.79W, 69C, 2489MHz
