[17:55:20] === bench-spark run ===
[17:55:20] Profile: qwen3.6-27b-fp8
[17:55:20] Tests:   01 02 03 04 05 06 07 08 09 10 11
[17:55:20] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/fp8
[17:55:24] Sanity-check op modeloutput...
[17:55:57] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 In het Nederlands We need to count from 1 to 5 in Dutch.
[17:55:57] ── START 01 ──
[17:56:58]     ... 01 running: 61s, GPU 96%, 38.26W, 68C, 2496MHz
[17:57:58]     ... 01 running: 121s, GPU 96%, 38.55W, 70C, 2489MHz
[17:58:58]     ... 01 running: 181s, GPU 96%, 38.97W, 71C, 2489MHz
[17:59:59]     ... 01 running: 242s, GPU 96%, 39.18W, 71C, 2496MHz
[18:00:59]     ... 01 running: 302s, GPU 96%, 39.27W, 72C, 2489MHz
[18:02:00]     ... 01 running: 363s, GPU 96%, 38.89W, 72C, 2470MHz
[18:03:00]     ... 01 running: 423s, GPU 96%, 39.20W, 72C, 2470MHz
[18:04:01]     ... 01 running: 484s, GPU 96%, 38.90W, 72C, 2470MHz
[18:05:01]     ... 01 running: 544s, GPU 96%, 39.22W, 72C, 2470MHz
[18:06:02]     ... 01 running: 605s, GPU 96%, 38.72W, 73C, 2470MHz
[18:07:02]     ... 01 running: 665s, GPU 96%, 38.83W, 72C, 2470MHz
[18:08:03]     ... 01 running: 726s, GPU 96%, 39.03W, 73C, 2470MHz
[18:09:03]     ... 01 running: 786s, GPU 96%, 39.03W, 73C, 2470MHz
[18:10:04]     ... 01 running: 847s, GPU 96%, 39.39W, 74C, 2470MHz
[18:11:04]     ... 01 running: 907s, GPU 96%, 38.90W, 72C, 2470MHz
[18:12:05]     ... 01 running: 968s, GPU 96%, 38.14W, 72C, 2470MHz
[18:13:05]     ... 01 running: 1028s, GPU 96%, 38.93W, 72C, 2470MHz
[18:14:05]     ... 01 running: 1088s, GPU 96%, 38.72W, 71C, 2489MHz
[18:15:06]     ... 01 running: 1149s, GPU 96%, 41.52W, 72C, 2470MHz
