elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,41.15,65,2489,96,121776
20,41.19,65,2489,96,121780
30,41.25,65,2489,96,121771
40,41.22,65,2489,96,121758
50,41.29,65,2489,96,121761
61,41.18,65,2489,96,121760
71,41.18,65,2489,96,121771
81,41.20,65,2489,96,121778
91,41.21,65,2489,96,121780
101,41.08,65,2489,96,121780
111,41.16,65,2489,96,121778
121,41.26,65,2489,96,121776
131,41.20,65,2489,96,121781
141,41.21,65,2489,96,121779
151,41.25,65,2489,96,121789
161,41.26,65,2489,96,121787
171,41.31,65,2489,96,121783
181,41.16,65,2489,96,121779
191,41.12,65,2489,96,121782
201,41.13,65,2489,96,121781
211,41.14,65,2489,96,121776
222,41.11,65,2489,96,121776
232,40.49,64,2489,96,121776
242,41.22,65,2489,96,121779
252,41.09,65,2489,96,121782
262,41.21,65,2489,96,121770
272,41.13,65,2489,96,121776
282,41.19,65,2489,96,121783
292,41.17,65,2489,96,121778
302,41.06,64,2489,96,121785
312,41.13,65,2489,96,121797
322,41.19,65,2489,96,121798
332,41.06,64,2489,96,121797
342,41.17,65,2489,96,121799
352,41.06,65,2489,96,121799
362,41.01,65,2489,96,121799
372,41.09,64,2489,96,121803
382,41.15,65,2489,96,121810
393,41.10,64,2489,96,121794
403,41.11,65,2489,96,121795
413,41.12,64,2489,96,121794
423,41.20,64,2489,96,121789
433,41.14,64,2489,96,121782
443,41.16,65,2489,96,121776
453,41.17,64,2489,96,121781
463,35.58,63,2496,96,121794
473,35.48,63,2496,96,121781
483,35.50,63,2496,96,121781
493,35.45,63,2496,96,121788
503,35.45,63,2496,96,121797
513,35.41,62,2496,96,121793
523,34.86,62,2496,96,121791
534,35.33,62,2496,96,121794
544,35.39,62,2496,96,121794
554,35.14,62,2496,96,121792
564,35.27,62,2515,96,121790
574,35.21,62,2515,96,121791
584,35.16,62,2515,96,121788
594,35.16,62,2515,96,121792
604,35.21,62,2515,96,121787
614,35.17,62,2515,96,121786
624,35.10,62,2515,96,121757
634,35.11,62,2515,96,121758
644,35.12,62,2515,96,121757
654,34.49,61,2515,96,121760
664,34.85,61,2515,96,121752
674,34.83,61,2515,96,121755
685,40.72,63,2489,96,121758
695,35.31,62,2515,96,121750
705,35.30,62,2515,96,121747
715,35.26,62,2515,96,121750
725,35.31,62,2515,96,121754
735,35.22,62,2515,96,121750
745,35.26,62,2515,96,121749
755,35.24,62,2515,96,121755
765,35.26,62,2515,96,121757
775,35.31,62,2515,96,121760
785,34.70,61,2515,96,121762
795,35.25,61,2515,96,121762
805,35.28,61,2515,96,121765
816,35.28,61,2515,96,121760
826,35.20,61,2515,96,121772
836,34.99,61,2515,96,121769
846,34.99,61,2515,96,121769
856,35.06,61,2515,96,121686
866,35.07,61,2515,96,121713
876,34.57,61,2515,96,122321
886,34.79,62,2515,96,121641
896,34.72,62,2515,96,121685
906,34.73,62,2515,96,121678
916,35.10,62,2515,96,121627
926,35.10,62,2515,96,121604
936,34.70,62,2515,96,121600
946,34.83,61,2515,96,121594
957,35.17,61,2515,96,121597
967,35.18,61,2515,96,121586
977,35.13,61,2515,96,121589
987,35.12,61,2515,96,121581
997,35.14,61,2515,96,121578
1007,35.18,61,2515,96,121595
1017,35.18,61,2515,96,121590
1027,35.21,61,2515,96,121591
1037,35.13,61,2515,96,121592
1047,35.11,61,2515,96,121586
1057,35.13,61,2515,96,121594
1067,35.03,61,2515,96,121590
1077,35.17,61,2515,96,121585
1088,35.11,61,2515,96,121585
1098,34.97,61,2515,96,121580
1108,35.02,61,2515,96,121592
1118,34.95,61,2515,96,121582
1128,34.90,61,2515,96,121572
1138,34.99,61,2515,96,121565
1148,35.04,61,2515,96,121553
1158,34.82,61,2515,96,121556
1168,34.81,61,2515,96,121555
1178,34.76,61,2515,96,121559
1188,34.79,61,2515,96,121563
1198,35.08,61,2515,96,121561
1208,35.11,61,2515,96,121564
1218,35.12,61,2515,96,121562
1229,35.04,61,2515,96,121564
1239,35.01,61,2515,96,121569
1249,35.10,61,2515,96,121568
1259,35.10,61,2515,96,121567
1269,35.16,61,2515,96,121572
1279,35.11,61,2515,96,121568
1289,35.16,61,2515,96,121560
1299,35.12,61,2515,96,121563
1309,35.15,61,2515,96,121561
1319,35.11,61,2515,96,121557
1329,35.10,61,2515,96,121562
1339,35.17,61,2515,96,121563
1349,35.10,61,2515,96,121573
1360,35.10,61,2515,96,121565
1370,35.11,61,2515,96,121566
1380,35.16,61,2515,96,121568
1390,35.17,61,2515,96,121561
1400,35.13,61,2515,96,121554
1410,35.17,61,2515,96,121547
1420,35.13,61,2515,96,121550
1430,34.98,61,2515,96,121555
1440,34.97,61,2515,96,121551
1450,35.00,61,2515,96,121564
1460,35.05,61,2515,96,121566
1470,34.99,61,2515,96,121557
1480,35.02,61,2515,96,121566
1490,34.87,61,2515,96,121564
1501,35.41,61,2515,96,121574
1511,35.37,61,2515,96,121572
1521,35.41,61,2515,96,121560
1531,35.45,61,2515,96,121567
1541,35.41,61,2515,96,121570
1551,35.45,61,2515,96,121579
1561,35.49,61,2515,96,121576
1571,35.41,61,2515,96,121576
1581,35.35,61,2515,96,121571
1591,35.47,61,2515,96,121573
1601,35.43,61,2515,96,121569
1611,35.42,61,2515,96,121570
1622,35.48,61,2515,96,121568
1632,35.44,61,2515,96,121574
1642,35.46,61,2515,96,121572
1652,35.46,61,2515,96,121591
1662,35.46,61,2515,96,121579
1672,35.52,61,2515,96,121578
1682,35.48,61,2515,96,121580
1692,35.24,61,2515,96,121577
1702,35.01,61,2515,96,121575
1712,35.06,61,2515,96,121573
1722,34.91,61,2515,96,121574
1732,40.41,62,2509,71,121591
1742,35.52,61,2515,96,121577
1752,35.50,61,2515,96,121582
1763,35.55,61,2515,96,121579
1773,35.49,61,2515,96,121573
1783,35.55,61,2515,96,121572
1793,35.56,61,2515,96,121587
1803,35.49,61,2515,96,121587
1813,35.56,61,2515,96,121584
1823,35.55,61,2515,96,121585
1833,35.54,61,2515,96,121587
1843,35.57,61,2515,96,121591
1853,35.60,61,2515,96,121595
1863,35.54,61,2515,96,121597
1873,35.49,61,2515,96,121599
1884,35.53,61,2515,96,121595
1894,35.50,61,2515,96,121597
1904,35.47,61,2515,96,121590
1914,35.53,61,2515,96,121592
1924,35.52,61,2515,96,121591
1934,35.53,61,2515,96,121593
1944,35.56,61,2515,96,121603
1954,35.56,61,2515,96,121599
1964,35.50,61,2515,96,121603
1974,35.47,61,2515,96,121596
1984,35.33,61,2515,96,121597
1994,35.28,61,2515,96,121591
2004,35.23,61,2515,96,121591
2015,35.28,61,2515,96,121592
2025,35.27,61,2515,96,121596
2035,35.13,61,2515,96,121589
2045,35.21,61,2515,96,121578
2055,35.09,61,2515,96,121573
2065,35.06,61,2515,96,121569
2075,35.07,61,2515,96,121586
2085,35.10,61,2515,96,121580
2095,35.07,61,2515,96,121578
2105,38.99,61,2515,96,121582
2115,35.42,61,2515,96,121579
2125,35.42,61,2515,96,121588
2135,35.51,61,2515,96,121587
2145,35.49,61,2515,96,121584
2156,35.45,61,2515,96,121584
2166,35.51,61,2515,96,121578
2176,35.43,61,2515,96,121579
2186,35.51,61,2515,96,121584
2196,35.58,61,2515,96,121579
2206,35.50,61,2515,96,121583
2216,35.46,61,2515,96,121586
2226,35.45,61,2515,96,121590
2236,35.50,61,2515,96,121594
2246,35.46,61,2515,96,121598
2256,35.52,61,2515,96,121588
2266,35.51,61,2515,96,121589
2276,35.33,61,2515,96,121591
2287,35.28,61,2515,96,121594
2297,35.34,61,2515,96,121584
2307,35.38,61,2515,96,121581
2317,35.24,61,2515,96,121592
2327,35.21,61,2515,96,121585
2337,35.22,61,2515,96,121587
2347,35.21,61,2515,96,121584
2357,35.17,61,2515,96,121585
2367,35.22,61,2515,96,121590
2377,35.15,61,2515,96,121581
2387,35.03,61,2515,96,121587
2397,35.02,61,2515,96,121588
2407,34.95,61,2515,96,121587
2417,34.90,61,2515,96,121585
2428,34.94,61,2515,96,121575
2438,34.93,61,2515,96,121584
2448,34.94,61,2515,96,121581
2458,35.43,61,2515,96,121582
2468,35.41,61,2515,96,121587
2478,35.45,61,2515,96,121592
2488,35.47,61,2515,96,121587
2498,35.48,61,2515,96,121596
