elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,38.97,69,2476,96,117977
20,37.80,69,2489,96,117689
30,38.90,69,2476,96,117664
40,38.88,69,2476,96,117671
50,38.89,69,2496,96,117658
60,38.85,69,2496,96,117632
70,48.20,69,2496,96,117626
80,38.94,69,2496,96,117628
90,38.92,69,2496,96,117631
100,39.04,70,2496,96,117623
111,38.94,69,2496,96,117626
121,55.11,74,2470,96,117626
131,39.00,69,2496,96,117633
141,38.85,69,2496,96,117627
151,40.18,70,2496,96,117636
161,39.94,70,2496,96,117637
171,39.84,70,2496,96,117632
181,40.10,69,2496,96,117636
191,40.03,70,2496,96,117643
201,39.97,70,2496,96,117648
211,39.90,70,2496,96,117637
221,63.57,74,2470,96,117636
231,40.00,70,2496,96,117649
241,39.94,70,2496,96,117637
252,39.88,70,2496,96,117647
262,40.07,71,2470,96,117646
272,40.00,70,2496,96,117646
282,39.98,70,2496,96,117645
292,39.94,70,2496,96,117644
