elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,16.04,64,2405,0,120726
20,47.66,67,2483,96,120732
30,48.11,68,2496,96,120702
40,65.41,75,2457,96,120700
50,44.05,71,2496,96,120691
60,51.44,73,2457,96,120683
70,44.14,72,2470,96,120673
80,44.14,71,2470,96,120673
90,42.13,71,2496,96,120673
100,66.59,74,2457,96,120683
110,54.72,73,2470,96,120689
120,44.37,72,2470,96,120684
130,44.27,72,2470,96,120680
140,44.31,72,2470,96,120684
151,60.27,77,2457,95,120671
161,75.43,78,2457,96,120672
171,75.25,78,2457,96,120681
181,42.57,72,2470,96,120681
191,42.65,71,2470,96,120676
201,44.14,71,2489,96,120674
211,40.44,70,2489,96,120667
221,42.46,71,2470,96,120672
231,75.11,76,2457,95,120672
241,42.51,72,2470,96,120667
251,64.94,77,2463,96,120664
261,67.45,77,2457,96,120667
271,44.39,72,2470,96,120678
281,44.27,72,2470,96,120678
291,42.72,72,2470,96,120685
301,42.41,72,2470,96,120685
312,46.16,71,2496,96,120670
322,58.20,73,2470,96,120675
332,44.50,72,2470,96,120678
342,44.34,72,2470,96,120669
352,74.75,76,2457,96,120673
362,42.68,72,2470,96,120679
372,41.35,71,2470,96,120677
382,42.93,72,2496,96,120676
392,44.41,71,2483,96,120683
402,44.58,71,2483,96,120679
412,39.56,70,2489,96,120675
422,40.91,71,2496,96,120677
432,42.52,71,2496,96,120668
442,42.60,71,2496,96,120672
452,42.59,71,2496,96,120673
462,42.62,71,2496,96,120673
473,74.56,76,2457,96,120666
483,42.22,71,2476,96,120669
493,48.19,76,2470,95,120668
503,52.14,72,2470,96,120676
513,56.63,72,2463,96,120681
523,44.25,72,2470,96,120677
533,64.80,77,2463,96,120673
543,61.45,72,2470,96,120670
553,69.81,77,2457,96,120672
563,44.55,73,2470,96,120670
573,47.43,73,2470,96,120665
583,44.45,72,2470,96,120658
593,44.30,72,2470,96,120650
603,42.42,71,2470,96,120651
613,46.96,71,2470,96,120654
623,44.46,72,2470,96,120651
634,51.32,77,2496,96,120659
644,42.50,72,2470,96,120656
654,42.65,72,2470,96,120652
664,41.15,71,2496,96,120654
674,62.72,77,2463,96,120655
684,44.44,73,2470,96,120651
694,42.66,72,2470,96,120655
704,39.07,71,2489,96,120658
