elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,49.12,64,2496,96,115518
20,49.18,65,2496,96,115473
30,49.48,66,2496,96,115464
40,49.49,66,2496,96,115457
50,49.49,66,2496,96,115462
60,49.61,67,2496,96,115454
70,49.67,67,2496,96,115459
80,49.64,67,2496,96,115451
91,49.74,67,2496,96,115453
101,49.67,67,2496,96,115461
111,49.91,67,2496,96,115461
121,49.87,67,2496,96,115465
131,49.79,67,2496,96,115469
141,49.88,68,2496,96,115462
151,50.03,68,2496,96,115465
161,49.96,68,2496,96,115456
171,49.93,68,2496,96,115457
181,50.10,68,2496,96,115459
191,50.09,68,2496,96,115453
201,50.05,68,2496,96,115449
211,50.11,68,2496,96,115452
221,50.13,68,2496,96,115451
231,50.07,68,2496,96,115453
241,49.96,68,2496,96,115452
252,50.07,68,2496,96,115453
262,50.22,69,2496,96,115452
272,50.20,69,2496,96,115450
282,50.26,69,2496,96,115456
292,50.09,69,2496,96,115457
302,50.12,69,2496,96,115457
312,50.18,69,2496,96,115460
322,50.31,68,2496,96,115455
332,50.25,69,2496,96,115459
342,50.08,69,2496,96,115456
352,50.12,69,2496,96,115457
362,50.29,69,2496,96,115459
372,75.17,75,2457,96,115446
382,50.29,69,2496,96,115445
392,50.29,69,2496,96,115445
402,50.13,69,2496,96,115443
413,50.23,69,2496,96,115444
423,50.28,69,2496,96,115439
433,50.24,69,2496,96,115443
443,50.24,69,2496,96,115439
453,50.21,68,2496,96,115431
463,50.27,69,2496,96,115434
473,50.25,69,2496,96,115437
483,50.15,69,2496,96,115446
493,90.16,77,2457,96,115437
503,39.76,68,2489,96,115433
513,39.34,67,2489,96,115436
523,39.18,67,2489,96,115435
533,38.96,66,2489,96,115438
543,38.93,66,2489,96,115441
553,38.77,65,2489,96,115444
564,38.66,65,2489,96,115440
574,38.74,65,2489,96,115444
584,38.67,65,2489,96,115444
594,38.60,64,2489,96,115444
604,38.55,64,2489,96,115455
614,38.60,64,2489,96,115449
624,91.10,74,2450,96,115452
634,39.03,66,2489,96,115463
644,38.94,65,2489,96,115458
654,38.79,65,2489,96,115457
664,38.65,65,2489,96,115453
674,38.64,64,2489,96,115455
684,38.62,64,2489,96,115452
694,38.57,64,2489,96,115454
704,38.58,64,2489,96,115451
715,38.52,64,2489,96,115443
725,38.46,64,2489,96,115446
735,38.36,64,2489,96,115443
745,38.25,63,2489,96,115442
755,53.60,67,2483,96,115444
765,38.96,66,2489,96,115446
775,38.76,65,2489,96,115446
785,38.69,65,2489,96,115444
795,38.60,64,2489,96,115436
805,38.55,64,2489,96,115439
815,38.53,64,2489,96,115443
825,38.42,64,2489,96,115453
835,38.42,64,2489,96,115450
845,38.35,63,2489,96,115444
856,38.38,63,2489,96,115444
866,38.36,63,2489,96,115442
876,61.67,65,2496,96,115447
886,39.18,66,2489,96,115447
896,38.83,65,2489,96,115450
906,38.60,65,2489,96,115449
916,38.56,64,2489,96,115451
926,38.49,64,2489,96,115450
936,38.45,64,2489,96,115453
946,38.45,63,2489,96,115456
956,38.41,63,2489,96,115457
966,38.36,63,2489,96,115459
976,38.39,63,2489,96,115453
986,38.31,63,2489,96,115451
996,38.33,63,2489,96,115450
1007,88.99,72,2463,96,115451
1017,90.30,74,2450,96,115450
1027,42.02,68,2489,96,115455
1037,41.61,67,2489,96,115454
1047,41.54,66,2489,96,115455
1057,41.36,66,2489,96,115449
1067,41.34,65,2489,96,115452
1077,41.28,65,2489,96,115452
1087,41.16,65,2489,96,115453
1097,41.20,65,2489,96,115442
1107,41.19,65,2489,96,115446
1117,41.10,64,2489,96,115443
1127,40.97,64,2489,96,115431
1137,40.97,64,2489,96,115435
1147,39.18,64,2489,96,115439
1157,89.96,75,2450,96,115436
1168,42.32,69,2489,96,115441
1178,41.91,68,2489,96,115441
1188,41.60,67,2489,96,115444
1198,41.50,66,2489,96,115443
1208,41.38,66,2489,96,115446
1218,41.37,66,2489,96,115448
1228,41.30,65,2489,96,115448
1238,41.29,65,2489,96,115451
1248,41.20,65,2489,96,115452
1258,41.18,65,2489,96,115447
1268,41.07,65,2489,96,115444
1278,41.08,65,2489,96,115437
1288,41.07,65,2489,96,115435
1298,89.58,74,2444,96,115452
1309,42.62,70,2489,96,115443
1319,42.03,68,2489,96,115448
1329,41.78,67,2489,96,115450
1339,41.68,67,2489,96,115446
1349,41.44,66,2489,96,115447
1359,41.37,66,2489,96,115443
1369,41.31,66,2489,96,115438
1379,41.20,65,2489,96,115438
1389,41.22,65,2489,96,115434
1399,41.19,65,2489,96,115428
1409,41.14,65,2489,96,115440
1419,41.25,65,2489,96,115440
1429,41.11,65,2489,96,115440
1439,89.48,73,2450,96,115459
1449,89.31,77,2450,96,115460
1460,42.16,68,2489,96,115449
1470,41.81,68,2489,96,115451
1480,41.64,67,2489,96,115449
1490,41.55,66,2489,96,115452
1500,41.46,66,2489,96,115452
1510,41.41,66,2489,96,115450
1520,41.37,66,2489,96,115448
1530,41.32,65,2489,96,115449
1540,41.29,65,2489,96,115446
1550,41.21,65,2489,96,115449
1560,41.17,65,2489,96,115452
1570,41.06,65,2489,96,115456
