elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.40,58,2411,0,118917
20,58.43,66,2489,96,118676
30,60.75,72,2489,96,118755
40,61.82,72,2470,96,118754
50,61.11,74,2470,96,118768
60,61.91,76,2470,96,118741
71,62.89,74,2470,96,118732
81,62.89,77,2470,96,118725
91,63.31,76,2470,96,118699
101,63.13,76,2470,96,118707
111,63.38,78,2470,96,118703
121,63.56,78,2470,96,118707
131,63.53,76,2470,96,118708
141,63.02,77,2470,96,118698
151,63.90,77,2470,96,118693
161,63.40,77,2470,96,118699
172,63.60,77,2470,96,118695
182,64.22,77,2470,96,118707
192,63.66,77,2470,96,118701
202,63.61,78,2470,96,118697
212,63.24,78,2470,96,118700
222,63.24,77,2470,96,118701
232,63.21,77,2470,96,118701
242,63.53,79,2470,96,118704
252,63.43,78,2470,96,118704
262,63.62,78,2470,96,118699
273,63.63,78,2470,96,118701
283,63.34,78,2470,96,118696
293,63.07,77,2470,96,118704
303,63.48,77,2470,96,118701
313,63.46,78,2470,96,118697
323,63.73,80,2470,96,118693
333,63.43,78,2463,96,118702
343,64.44,79,2470,96,118704
353,63.39,79,2470,96,118692
364,63.81,78,2470,96,118687
374,63.49,79,2470,96,118704
384,63.63,79,2470,96,118692
394,63.71,80,2457,96,118695
404,64.01,79,2470,96,118719
414,63.78,79,2463,96,118708
424,63.75,80,2470,96,118695
434,63.53,80,2463,96,118712
444,63.85,80,2470,96,118696
454,64.03,79,2470,96,118721
465,63.91,79,2463,96,118706
475,63.50,78,2470,96,118701
485,64.20,79,2463,96,118710
495,63.19,79,2463,96,118715
505,64.14,80,2463,96,118719
515,63.38,80,2470,96,118736
525,63.82,80,2470,96,118739
535,62.87,79,2463,96,118732
545,63.54,79,2463,96,118718
555,63.69,80,2463,96,118721
566,63.01,82,2463,96,118718
576,63.06,79,2470,96,118713
586,63.58,79,2463,96,118717
596,63.57,79,2463,96,118709
606,63.42,79,2463,96,118718
616,63.58,81,2463,96,118720
626,63.93,80,2463,96,118722
636,64.02,79,2463,96,118724
646,63.54,80,2463,96,118725
657,63.08,79,2463,96,118728
667,63.21,80,2470,96,118732
677,63.05,80,2463,96,118749
687,63.56,82,2463,96,118743
697,63.19,80,2463,96,118729
707,63.44,80,2463,96,118732
717,63.94,81,2463,96,118755
727,63.20,80,2463,96,118738
737,62.59,79,2463,96,118736
747,62.95,80,2470,96,118730
758,63.90,80,2463,96,118730
768,63.63,80,2470,96,118728
778,63.54,81,2463,96,118729
788,63.36,80,2457,96,118729
798,63.65,80,2463,96,118740
808,62.73,82,2463,96,118734
818,63.14,81,2463,96,118736
828,63.08,80,2463,96,118735
838,63.13,80,2463,96,118724
848,63.97,79,2457,96,118728
859,63.03,82,2457,96,118726
869,63.03,80,2463,96,118713
879,62.62,80,2457,96,118717
889,62.81,79,2463,96,118714
899,63.12,81,2457,96,118716
909,63.43,80,2463,96,118719
919,63.94,78,2470,96,118723
929,63.16,80,2463,96,118732
939,62.70,79,2470,96,118733
949,62.74,80,2457,96,118733
960,63.26,80,2470,96,118734
970,63.40,80,2470,96,118732
980,62.73,80,2457,96,118729
990,62.42,80,2463,96,118725
1000,63.10,80,2463,96,118727
1010,63.40,80,2457,96,118728
1020,63.15,80,2463,96,118735
1030,63.17,80,2463,96,118731
1040,62.75,80,2470,96,118727
1050,63.26,80,2463,96,118729
1060,62.99,80,2463,96,118733
1071,63.28,80,2463,96,118734
1081,64.14,81,2463,96,118737
1091,63.00,80,2463,96,118740
1101,62.46,80,2463,96,118740
1111,63.18,81,2457,96,118743
1121,63.33,80,2463,96,118749
1131,63.58,82,2463,96,118742
1141,63.14,80,2470,96,118757
1151,62.68,82,2463,96,118751
1162,63.25,80,2470,96,118752
1172,62.95,80,2457,96,118752
1182,63.24,80,2463,96,118744
1192,62.61,79,2463,96,118751
1202,62.64,80,2463,96,118749
1212,63.87,80,2463,96,118738
1222,62.90,80,2470,96,118740
1232,62.57,80,2457,96,118744
1242,62.63,80,2463,96,118746
1252,62.81,80,2457,96,118746
1263,63.01,79,2457,96,118747
1273,63.08,80,2470,96,118748
1283,62.58,80,2457,96,118741
1293,62.71,80,2457,96,118739
1303,63.33,79,2463,96,118751
1313,63.00,80,2470,96,118752
1323,62.81,79,2463,96,118735
1333,62.46,78,2470,96,118736
1343,62.37,79,2457,96,118727
1353,62.98,80,2463,96,118730
1364,63.00,79,2470,96,118734
1374,61.64,79,2463,96,118737
1384,62.72,80,2463,96,118733
1394,62.77,82,2463,96,118735
1404,62.94,79,2463,96,118728
1414,61.90,78,2463,96,118733
1424,62.73,78,2470,96,118749
1434,62.78,79,2463,96,118741
1444,63.16,80,2457,96,118737
1454,61.84,80,2463,96,118740
1464,63.24,80,2463,96,118738
1475,62.35,78,2457,96,118744
1485,62.61,79,2463,96,118742
1495,62.39,80,2463,96,118739
1505,49.14,76,2470,96,118739
1515,48.84,76,2470,96,118743
1525,48.15,73,2470,96,118752
1535,47.24,73,2470,96,118749
1545,47.82,73,2470,96,118745
1555,47.74,73,2470,96,118746
1565,47.02,72,2470,96,118742
1575,46.22,71,2470,96,118742
1586,46.58,71,2476,96,118751
1596,46.67,71,2483,96,118750
1606,47.46,71,2483,96,118752
1616,47.14,71,2483,96,118751
1626,47.39,71,2496,96,118759
1636,46.69,71,2496,96,118751
1646,46.70,70,2496,96,118751
1656,46.98,70,2496,96,118747
1666,45.54,69,2496,96,118749
1676,45.82,69,2496,96,118751
1686,44.99,69,2496,96,118753
1696,44.11,69,2496,96,118750
1707,47.19,70,2496,96,118746
1717,47.80,69,2496,96,118747
1727,48.15,70,2496,96,118749
1737,46.41,69,2496,96,118740
1747,46.49,69,2496,96,118740
1757,46.93,69,2496,96,118743
1767,43.96,68,2496,96,118742
1777,43.99,69,2496,96,118746
1787,40.64,67,2489,96,118744
1797,37.14,66,2489,96,118747
